Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.153,0.83,3.108,8.895,0.273
0.424,0.342,1.395,3.709,0.6
0.661,0.152,0.962,2.781,0.758
0.102,0.875,7.005,18.371,0.107
0.407,0.478,1.551,4.323,0.562
0.051,0.903,7.63,20.019,0.08
0.322,0.441,1.618,4.393,0.524
0.492,0.408,1.39,3.887,0.619
0.102,0.846,8.065,21.277,0.091
0.492,0.171,1.44,3.901,0.613
0.169,0.767,7.801,20.577,0.117
0.051,0.906,6.212,16.404,0.106
0.407,0.226,1.983,5.451,0.493
0.373,0.532,1.814,4.902,0.51
0.085,0.848,6.797,17.925,0.105
0.424,0.405,2.021,5.527,0.494
0.153,0.757,3.669,10.431,0.232
0.068,0.905,7.176,18.962,0.092
0.203,0.625,2.374,6.346,0.377
0.305,0.471,1.605,4.308,0.522
0.085,0.828,7.855,20.703,0.088
0.102,0.833,6.874,18.266,0.108
0.153,0.743,6.867,18.503,0.124
0.271,0.619,3.187,8.761,0.312
0.271,0.673,2.817,7.74,0.346
0.136,0.75,7.942,21.111,0.103
0.373,0.436,1.88,5.062,0.5
0.085,0.872,7.009,18.909,0.099
0.407,0.415,2.317,6.72,0.439
0.102,0.769,6.746,17.979,0.11
0.203,0.692,2.947,8.358,0.306
0.085,0.833,7.146,19.767,0.094
0.102,0.739,7.224,19.175,0.102
0.068,0.867,7.156,18.843,0.093
0.288,0.261,2.082,5.726,0.439
0.322,0.424,1.81,5.08,0.489
0.136,0.795,7.968,21.149,0.103
0.339,0.412,1.844,5.082,0.491
0.136,0.789,6.496,17.475,0.126
0.119,0.794,7.729,20.537,0.1
0.153,0.809,6.778,18.006,0.127
0.136,0.822,8.069,21.165,0.103
0.119,0.8,6.602,17.531,0.119
0.102,0.864,6.778,18.303,0.109
0.085,0.808,7.292,19.463,0.095
0.136,0.733,3.816,11.324,0.21
0.61,0.25,1.995,5.471,0.559
0.271,0.407,1.581,4.292,0.514
0.339,0.487,1.613,4.398,0.531
0.339,0.459,3.7,10.448,0.293
0.492,0.341,1.369,3.641,0.627
0.136,0.742,6.449,17.023,0.129
0.102,0.85,7.288,19.162,0.102
0.254,0.464,2.287,6.435,0.397
0.39,0.439,2.337,6.742,0.432
0.322,0.62,1.876,4.994,0.485
0.051,0.88,8.157,21.718,0.072
0.254,0.559,3.206,8.731,0.307
0.203,0.478,4.146,11.209,0.228
0.254,0.583,2.731,7.856,0.342
0.085,0.853,7.401,19.555,0.094
0.322,0.678,2.37,6.603,0.411
0.288,0.622,5.932,16.042,0.189
0.373,0.421,2.46,6.774,0.418
0.085,0.844,8.071,21.428,0.085
0.458,0.182,1.62,4.406,0.569
0.102,0.806,8.115,21.486,0.09
0.068,0.882,7.456,19.638,0.088
0.102,0.769,7.99,21.239,0.091
0.305,0.538,2.527,7.36,0.379
0.085,0.844,6.853,18.308,0.103
0.153,0.667,7.585,20.336,0.113
0.068,0.889,7.724,20.332,0.084
0.051,0.923,5.228,14.98,0.123
0.186,0.645,2.581,7.104,0.343
0.068,0.886,8.452,22.572,0.074
0.102,0.8,3.216,9.322,0.245
0.22,0.581,2.941,8.101,0.317
0.356,0.382,1.463,3.914,0.564
0.22,0.683,3.25,8.753,0.294
0.322,0.525,2.322,6.199,0.423
0.102,0.878,6.988,18.444,0.107
0.051,0.923,7.797,21.889,0.073
0.068,0.886,7.395,19.481,0.089
0.085,0.881,8.041,21.29,0.085
0.119,0.877,7.307,19.38,0.107
0.051,0.923,7.672,20.332,0.079
0.119,0.816,8.583,22.922,0.09
0.153,0.795,7.758,20.504,0.112
0.068,0.871,8.553,22.748,0.073
0.085,0.857,3.237,9.383,0.237
0.305,0.561,1.901,5.193,0.472
0.119,0.816,7.585,19.946,0.103
0.339,0.355,1.697,4.589,0.517
0.237,0.576,2.366,6.794,0.378
0.169,0.783,2.684,7.802,0.317
0.085,0.853,8.43,22.558,0.08
0.085,0.839,8.361,22.173,0.081
0.085,0.792,8.064,21.253,0.085
0.136,0.758,7.325,19.371,0.112
