Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.714,0.39,1.25,2.799,0.736
0.8,0.364,0.856,1.882,0.836
0.771,0.325,1.072,2.312,0.788
0.6,0.417,1.553,3.543,0.645
0.314,0.738,2.267,5.178,0.449
0.8,0.378,1.233,2.704,0.768
0.714,0.457,1.371,3.065,0.715
0.314,0.667,2.033,4.732,0.477
0.686,0.351,1.069,2.39,0.759
0.771,0.4,1.16,2.775,0.767
0.771,0.308,1.132,2.529,0.776
0.743,0.316,1.358,2.98,0.728
0.314,0.645,1.893,4.268,0.5
0.743,0.278,1.225,2.675,0.751
0.143,0.853,6.549,14.299,0.151
0.743,0.297,1.149,2.646,0.762
0.686,0.385,1.509,3.565,0.678
0.743,0.409,1.069,2.303,0.779
0.771,0.357,1.158,2.492,0.773
0.714,0.375,1.472,3.415,0.695
0.4,0.517,1.284,2.848,0.625
0.714,0.342,0.932,2.145,0.792
0.771,0.289,1.151,2.494,0.774
0.686,0.415,1.238,2.711,0.729
0.686,0.333,1.726,3.885,0.648
0.714,0.359,0.999,2.185,0.782
0.171,0.838,6.576,14.433,0.159
0.714,0.405,1.309,2.907,0.726
0.086,0.917,6.832,15.132,0.124
0.486,0.346,1.615,3.757,0.595
0.314,0.771,3.242,7.718,0.346
0.743,0.366,1.447,3.123,0.714
0.686,0.385,1.244,2.797,0.727
0.686,0.385,1.528,3.426,0.679
0.429,0.559,1.533,3.602,0.589
0.457,0.568,1.139,2.455,0.671
0.143,0.881,5.823,12.556,0.173
0.629,0.421,1.431,3.152,0.677
0.714,0.375,1.208,2.643,0.744
0.714,0.468,1.154,2.704,0.75
0.629,0.532,1.556,3.494,0.655
0.171,0.86,8.558,18.447,0.125
0.114,0.879,6.036,13.174,0.155
0.143,0.844,6.62,14.777,0.147
0.6,0.4,1.315,2.846,0.688
0.6,0.382,1.233,2.816,0.699
0.086,0.906,7.122,15.819,0.117
0.086,0.919,7.102,15.972,0.116
0.086,0.925,5.671,13.038,0.15
0.143,0.875,4.631,11.044,0.203
0.143,0.833,6.987,15.485,0.139
0.0,1.0,17.297,44.015,0.014
0.686,0.429,1.257,2.808,0.725
0.714,0.342,1.272,2.827,0.732
0.629,0.421,1.878,4.181,0.608
0.743,0.278,1.339,2.966,0.73
0.086,0.917,8.104,18.65,0.097
0.114,0.892,6.925,15.272,0.132
0.143,0.848,5.8,12.488,0.174
0.171,0.793,7.352,16.414,0.141
0.114,0.909,9.392,20.172,0.097
0.714,0.375,1.608,3.721,0.673
0.229,0.724,2.151,4.991,0.433
0.143,0.872,6.672,14.302,0.151
0.114,0.852,6.568,14.36,0.141
0.371,0.606,2.586,5.927,0.432
0.743,0.395,1.166,2.535,0.762
0.143,0.872,9.273,20.149,0.106
0.314,0.656,3.074,7.04,0.367
0.229,0.636,3.857,8.555,0.286
0.114,0.889,5.814,14.149,0.147
0.143,0.839,6.492,13.915,0.155
0.171,0.818,3.459,8.401,0.279
0.429,0.643,3.754,8.243,0.361
0.314,0.711,1.778,3.986,0.517
0.0,1.0,13.686,33.666,0.024
0.171,0.829,4.917,11.821,0.199
0.714,0.375,1.257,2.759,0.736
0.286,0.643,1.897,4.301,0.489
0.629,0.371,1.455,3.381,0.669
0.286,0.655,2.274,5.512,0.431
0.0,1.0,15.151,40.352,0.017
0.2,0.781,5.01,11.601,0.211
0.714,0.359,1.197,2.602,0.747
0.514,0.571,2.246,5.213,0.516
0.771,0.357,1.175,2.529,0.77
0.0,1.0,16.102,42.779,0.016
0.6,0.382,1.207,2.696,0.705
0.0,1.0,14.679,39.693,0.018
0.2,0.731,2.568,6.024,0.373
0.286,0.688,3.287,7.312,0.344
0.657,0.395,1.717,3.945,0.638
0.171,0.75,4.16,9.494,0.244
0.0,1.0,17.919,45.883,0.013
0.086,0.87,2.977,7.273,0.288
0.143,0.857,6.654,14.245,0.151
0.057,0.949,6.492,14.073,0.125
0.2,0.759,2.955,7.116,0.331
0.171,0.867,6.556,14.069,0.163
0.286,0.655,1.752,3.826,0.513
