Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.281,0.757,6.064,15.001,0.194
0.25,0.83,2.4,6.318,0.392
0.25,0.765,5.792,14.266,0.192
0.25,0.742,5.725,14.116,0.193
0.438,0.5,2.514,6.575,0.442
0.281,0.719,2.366,6.402,0.402
0.0,1.0,12.163,34.9,0.024
0.0,1.0,12.044,34.541,0.024
0.219,0.811,6.079,14.949,0.173
0.0,1.0,11.157,32.203,0.028
0.531,0.452,2.644,6.698,0.464
0.25,0.714,3.116,8.493,0.313
0.219,0.75,6.392,15.832,0.165
0.281,0.71,5.548,13.787,0.208
0.188,0.793,6.008,14.861,0.164
0.219,0.794,6.151,15.383,0.17
0.188,0.739,2.168,5.565,0.404
0.25,0.771,5.102,12.905,0.211
0.219,0.774,2.966,8.112,0.315
0.281,0.75,5.799,14.246,0.202
0.594,0.321,1.848,4.834,0.582
0.75,0.172,0.544,1.441,0.869
0.469,0.444,2.335,6.25,0.47
0.25,0.652,5.402,13.493,0.202
0.344,0.633,3.531,9.35,0.316
0.0,1.0,12.28,35.287,0.023
0.469,0.583,2.385,6.237,0.467
0.0,1.0,10.645,31.053,0.03
0.188,0.75,2.508,6.55,0.359
0.5,0.5,2.423,6.297,0.474
0.25,0.724,6.083,15.395,0.18
0.344,0.633,2.352,6.226,0.428
0.0,1.0,12.763,36.735,0.021
0.188,0.778,6.116,15.144,0.161
0.156,0.839,6.535,16.636,0.138
0.219,0.741,3.777,10.779,0.246
0.0,1.0,12.437,35.72,0.023
0.188,0.793,6.243,15.408,0.158
0.188,0.829,6.036,14.919,0.164
0.406,0.567,2.522,6.586,0.431
0.25,0.805,5.867,14.438,0.19
0.344,0.711,3.283,8.885,0.331
0.281,0.727,2.217,5.762,0.427
0.0,1.0,11.631,34.215,0.025
0.281,0.727,4.784,12.13,0.233
0.219,0.759,2.743,6.999,0.348
0.156,0.808,6.376,15.699,0.145
0.25,0.652,2.551,6.908,0.37
0.375,0.613,4.702,11.862,0.269
0.219,0.767,5.772,14.202,0.182
0.438,0.533,2.845,7.569,0.404
0.188,0.778,4.9,12.071,0.202
0.0,1.0,11.439,33.026,0.026
0.156,0.861,6.166,15.282,0.149
0.25,0.724,6.083,14.996,0.183
0.281,0.667,5.399,13.589,0.211
0.25,0.778,5.967,14.67,0.187
0.125,0.882,7.621,19.939,0.105
0.0,1.0,13.338,35.546,0.022
0.25,0.733,5.831,14.296,0.191
0.375,0.571,2.643,7.068,0.403
0.219,0.759,6.006,14.741,0.176
0.375,0.52,2.862,7.795,0.378
0.219,0.794,6.098,14.964,0.173
0.281,0.64,2.16,5.497,0.437
0.0,1.0,11.19,33.036,0.027
0.25,0.692,6.117,15.043,0.183
0.219,0.741,5.98,15.207,0.172
0.188,0.739,2.359,6.129,0.378
0.0,1.0,10.799,31.123,0.029
0.0,1.0,13.707,36.455,0.021
0.25,0.68,3.817,10.683,0.257
0.25,0.75,6.172,15.137,0.182
0.25,0.733,6.133,15.124,0.182
0.438,0.576,2.918,7.862,0.395
0.281,0.69,2.103,5.265,0.447
0.219,0.788,5.021,12.387,0.207
0.469,0.625,2.596,6.951,0.439
0.188,0.684,6.276,15.502,0.158
0.281,0.667,5.937,14.59,0.198
0.281,0.654,2.373,6.253,0.405
0.281,0.69,2.099,5.228,0.448
0.25,0.692,5.893,14.512,0.189
0.25,0.724,3.879,10.796,0.254
0.219,0.696,5.832,14.326,0.18
0.0,1.0,13.338,36.145,0.022
0.375,0.478,2.571,6.667,0.416
0.125,0.882,5.896,14.537,0.147
0.438,0.548,2.643,6.993,0.426
0.562,0.5,2.119,5.405,0.536
0.344,0.522,4.609,11.531,0.264
0.375,0.586,3.029,8.383,0.36
0.25,0.692,6.143,15.07,0.183
0.0,1.0,11.264,33.188,0.026
0.281,0.719,6.043,14.835,0.195
0.344,0.593,5.451,13.704,0.231
0.188,0.846,6.117,15.039,0.162
0.156,0.857,7.001,18.383,0.125
0.25,0.724,5.663,13.933,0.196
0.188,0.793,5.973,14.717,0.166
