Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.043,0.149,0.384,0.996
0.911,0.212,1.154,2.76,0.815
0.822,0.075,0.769,1.906,0.855
0.622,0.243,1.094,2.746,0.727
0.422,0.486,1.469,3.93,0.586
0.156,0.841,6.038,14.252,0.159
0.356,0.568,2.308,6.36,0.431
0.533,0.415,1.742,4.7,0.575
0.311,0.659,2.443,6.78,0.399
0.667,0.333,1.19,3.174,0.719
0.511,0.439,1.935,5.433,0.532
0.578,0.435,2.058,5.606,0.541
0.6,0.308,1.117,2.859,0.714
0.556,0.457,1.999,5.369,0.543
0.111,0.884,5.918,13.885,0.148
0.489,0.488,2.031,5.604,0.513
0.489,0.488,2.045,5.592,0.512
0.333,0.595,2.566,7.208,0.39
0.711,0.319,0.884,2.235,0.796
0.578,0.316,1.475,3.613,0.644
0.644,0.275,0.956,2.375,0.761
0.289,0.69,2.614,7.273,0.371
0.622,0.391,1.637,4.444,0.621
0.311,0.6,2.489,6.846,0.395
0.089,0.905,5.492,13.14,0.151
0.6,0.438,1.764,4.593,0.598
0.244,0.75,2.271,6.163,0.401
0.489,0.542,2.318,6.344,0.475
0.311,0.632,2.535,6.962,0.39
0.311,0.674,1.728,4.488,0.508
0.511,0.378,1.375,3.559,0.635
0.311,0.667,2.586,7.149,0.383
0.511,0.489,2.171,5.916,0.503
0.267,0.755,2.021,5.282,0.448
0.489,0.532,2.197,6.075,0.49
0.4,0.6,1.29,3.122,0.619
0.556,0.405,2.008,5.443,0.541
0.067,0.93,6.012,14.154,0.13
0.556,0.286,1.279,3.458,0.664
0.778,0.186,0.866,2.067,0.824
0.2,0.743,2.554,7.118,0.348
0.378,0.63,2.644,7.267,0.4
0.089,0.9,6.14,16.728,0.117
0.511,0.378,1.321,3.649,0.64
0.111,0.904,7.297,17.805,0.112
0.644,0.293,1.171,2.937,0.72
0.444,0.535,1.419,3.509,0.609
0.667,0.302,1.108,2.725,0.74
0.422,0.525,1.986,5.451,0.498
0.378,0.5,1.66,4.401,0.539
0.311,0.622,2.209,5.968,0.432
0.644,0.293,1.609,4.232,0.637
0.622,0.333,1.536,3.704,0.65
0.222,0.762,1.968,5.27,0.437
0.044,0.965,8.442,20.049,0.076
0.244,0.676,2.773,7.692,0.34
0.111,0.872,2.236,5.463,0.376
0.489,0.511,2.128,5.873,0.499
0.178,0.795,3.295,8.967,0.274
0.044,0.949,5.62,13.323,0.133
0.644,0.341,1.329,3.273,0.692
0.622,0.364,0.933,2.293,0.759
0.067,0.933,6.665,15.926,0.112
0.444,0.565,2.402,6.664,0.448
0.711,0.347,1.263,3.265,0.723
0.244,0.686,3.055,8.148,0.32
0.356,0.568,2.215,6.128,0.443
0.156,0.848,3.886,10.869,0.222
0.311,0.65,2.144,5.884,0.439
0.267,0.714,2.068,5.565,0.437
0.244,0.711,1.918,5.092,0.453
0.267,0.707,2.669,7.425,0.358
0.267,0.769,1.851,4.755,0.475
0.822,0.229,1.238,3.01,0.769
0.511,0.452,1.691,4.449,0.579
0.311,0.641,2.689,7.525,0.37
0.778,0.3,1.305,3.288,0.739
0.422,0.472,1.333,3.405,0.614
0.644,0.171,1.256,3.106,0.705
0.756,0.227,0.748,1.857,0.837
0.644,0.171,1.188,3.281,0.71
0.556,0.265,1.426,3.771,0.639
0.222,0.722,3.117,8.587,0.302
0.444,0.583,2.335,6.539,0.455
0.578,0.316,1.081,2.61,0.717
0.511,0.521,1.865,5.018,0.548
0.356,0.61,2.502,6.858,0.409
0.156,0.854,6.105,14.466,0.156
0.622,0.263,1.05,2.536,0.737
0.356,0.59,2.687,7.557,0.384
0.467,0.447,1.437,3.756,0.608
0.556,0.561,2.502,6.821,0.476
0.556,0.306,1.598,4.277,0.607
0.422,0.604,2.478,6.772,0.434
0.556,0.342,1.255,3.367,0.669
0.422,0.486,2.073,5.563,0.489
0.667,0.333,1.193,2.828,0.727
0.467,0.5,2.005,5.398,0.513
0.067,0.903,4.522,12.524,0.16
0.422,0.525,1.842,4.992,0.521
