Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,8.118,21.923,0.055
0.0,1.0,9.805,25.11,0.042
0.0,1.0,10.584,27.152,0.036
0.0,1.0,8.89,24.225,0.046
0.0,1.0,9.47,24.727,0.043
0.0,1.0,7.872,20.733,0.06
0.0,1.0,9.836,26.072,0.04
0.0,1.0,8.2,22.044,0.054
0.0,1.0,9.979,25.79,0.04
0.0,1.0,6.997,18.387,0.073
0.0,1.0,10.194,26.01,0.039
0.683,0.2,1.935,4.837,0.605
0.0,1.0,9.869,25.454,0.041
0.024,0.963,7.696,20.317,0.07
0.0,1.0,8.305,21.832,0.054
0.0,1.0,9.91,25.988,0.04
0.024,0.968,8.212,21.03,0.066
0.0,1.0,9.673,25.678,0.041
0.0,1.0,10.189,26.77,0.038
0.122,0.881,5.946,16.044,0.134
0.122,0.875,7.079,17.047,0.121
0.0,1.0,8.993,23.385,0.048
0.634,0.366,2.365,6.121,0.526
0.0,1.0,7.951,20.991,0.058
0.0,1.0,7.151,18.881,0.07
0.0,1.0,10.205,26.177,0.039
0.0,1.0,7.676,20.219,0.062
0.0,1.0,9.971,25.796,0.04
0.0,1.0,9.53,24.618,0.044
0.098,0.895,7.386,17.688,0.108
0.0,1.0,9.638,25.869,0.04
0.0,1.0,8.511,22.635,0.051
0.0,1.0,10.121,26.01,0.039
0.0,1.0,10.448,26.439,0.038
0.0,1.0,8.367,22.362,0.052
0.024,0.975,7.635,20.118,0.071
0.0,1.0,11.185,29.466,0.031
0.0,1.0,8.553,23.417,0.049
0.0,1.0,10.232,26.39,0.038
0.0,1.0,10.366,27.249,0.036
0.0,1.0,9.395,24.469,0.044
0.0,1.0,9.991,25.496,0.041
0.0,1.0,8.832,23.114,0.049
0.39,0.529,1.963,5.062,0.499
0.0,1.0,9.23,23.925,0.046
0.0,1.0,9.139,24.751,0.044
0.0,1.0,9.386,24.402,0.044
0.0,1.0,9.078,24.425,0.045
0.0,1.0,7.749,20.464,0.061
0.0,1.0,9.711,25.148,0.042
0.0,1.0,10.116,25.506,0.04
0.0,1.0,7.762,20.548,0.061
0.0,1.0,10.932,28.065,0.034
0.0,1.0,8.68,23.711,0.048
0.634,0.333,2.294,5.817,0.538
0.0,1.0,9.045,23.971,0.046
0.0,1.0,9.994,26.726,0.038
0.0,1.0,9.936,25.49,0.041
0.0,1.0,7.921,20.839,0.059
0.0,1.0,8.847,23.086,0.049
0.0,1.0,10.075,26.263,0.039
0.0,1.0,8.893,23.151,0.049
0.0,1.0,8.973,23.468,0.048
0.0,1.0,8.007,21.388,0.057
0.073,0.912,7.143,17.152,0.104
0.0,1.0,9.445,24.31,0.045
0.732,0.091,0.824,2.02,0.815
0.0,1.0,9.199,24.096,0.046
0.0,1.0,9.117,23.839,0.046
0.0,1.0,9.165,23.726,0.047
0.0,1.0,9.26,24.582,0.044
0.0,1.0,9.444,25.228,0.042
0.0,1.0,8.117,21.654,0.056
0.0,1.0,8.089,21.513,0.056
0.341,0.674,3.989,10.542,0.286
0.0,1.0,8.922,23.199,0.049
0.0,1.0,9.504,24.812,0.043
0.0,1.0,7.439,19.629,0.066
0.0,1.0,10.139,25.94,0.039
0.171,0.816,6.99,16.706,0.14
0.0,1.0,7.16,18.791,0.071
0.0,1.0,7.999,21.033,0.058
0.0,1.0,8.231,21.66,0.055
0.0,1.0,9.673,26.119,0.04
0.0,1.0,7.258,19.152,0.069
0.0,1.0,10.803,27.802,0.035
0.0,1.0,9.756,24.97,0.042
0.0,1.0,8.007,21.942,0.055
0.0,1.0,9.829,25.798,0.04
0.0,1.0,8.615,22.575,0.051
0.049,0.931,7.367,18.702,0.087
0.415,0.541,3.017,7.816,0.385
0.0,1.0,8.975,23.935,0.046
0.0,1.0,8.642,23.476,0.048
0.0,1.0,9.741,25.75,0.04
0.0,1.0,9.449,25.136,0.042
0.0,1.0,8.687,22.683,0.051
0.0,1.0,9.447,25.106,0.042
0.0,1.0,7.636,20.145,0.063
0.0,1.0,9.42,24.783,0.043
