Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.885,0.115,0.522,1.315,0.918
0.103,0.871,3.811,9.703,0.224
0.115,0.855,3.811,9.724,0.227
0.701,0.208,0.744,1.809,0.82
0.092,0.896,4.344,11.064,0.19
0.034,0.936,14.003,33.51,0.035
0.092,0.881,4.001,10.161,0.209
0.011,0.98,11.199,27.957,0.038
0.103,0.875,10.318,24.325,0.078
0.023,0.962,7.215,17.836,0.083
0.034,0.933,8.846,21.807,0.065
0.057,0.907,11.841,28.763,0.051
0.287,0.638,5.351,13.132,0.218
0.069,0.864,14.041,33.542,0.047
0.034,0.956,11.763,28.583,0.044
0.184,0.719,5.952,13.915,0.172
0.0,1.0,6.85,17.415,0.079
0.138,0.803,5.13,12.52,0.177
0.0,1.0,12.06,30.459,0.029
0.023,0.958,16.538,39.651,0.025
0.011,0.983,11.709,29.551,0.035
0.149,0.729,5.389,12.814,0.176
0.103,0.847,7.013,17.535,0.112
0.115,0.825,5.389,13.066,0.161
0.046,0.913,13.908,33.683,0.039
0.034,0.927,14.978,35.093,0.033
0.08,0.877,9.196,22.963,0.076
0.034,0.942,11.95,28.917,0.043
0.069,0.905,12.23,28.503,0.055
0.0,1.0,7.459,19.051,0.068
0.034,0.933,9.195,22.957,0.06
0.069,0.875,10.95,25.586,0.062
0.0,1.0,7.594,19.39,0.066
0.092,0.852,5.756,13.992,0.142
0.046,0.923,13.516,31.723,0.042
0.034,0.917,14.634,36.023,0.033
0.069,0.903,6.92,17.215,0.103
0.172,0.732,4.666,11.444,0.207
0.069,0.887,13.732,32.397,0.048
0.057,0.898,13.921,32.966,0.044
0.126,0.82,6.373,15.636,0.136
0.092,0.867,12.408,29.145,0.062
0.034,0.944,12.209,28.512,0.044
0.034,0.948,11.672,27.637,0.046
0.092,0.852,6.168,14.948,0.131
0.023,0.957,8.6,21.508,0.063
0.057,0.902,12.543,30.013,0.049
0.057,0.904,12.339,28.935,0.05
0.034,0.942,14.724,35.175,0.033
0.103,0.859,4.066,10.268,0.21
0.0,1.0,7.73,19.672,0.065
0.046,0.943,11.839,28.003,0.049
0.011,0.976,12.95,31.483,0.031
0.057,0.912,11.743,27.645,0.053
0.023,0.96,10.41,26.076,0.046
0.034,0.925,14.935,36.152,0.032
0.0,1.0,16.127,38.997,0.018
0.057,0.884,8.097,20.126,0.081
0.046,0.927,13.372,32.134,0.041
0.057,0.884,13.774,33.192,0.044
0.023,0.96,15.072,36.445,0.028
0.034,0.946,12.493,29.354,0.042
0.023,0.962,13.843,33.132,0.032
0.0,1.0,11.558,27.766,0.034
0.023,0.961,13.546,32.971,0.032
0.023,0.955,9.955,24.933,0.05
0.069,0.895,10.584,25.972,0.062
0.034,0.945,10.842,27.483,0.047
0.057,0.878,13.063,31.695,0.046
0.046,0.915,9.314,23.249,0.063
0.046,0.923,8.613,21.609,0.07
0.057,0.904,10.464,25.563,0.059
0.115,0.833,12.814,30.211,0.067
0.057,0.896,13.671,32.696,0.044
0.011,0.98,8.122,20.065,0.066
0.057,0.917,13.647,32.455,0.045
0.126,0.792,5.305,12.823,0.169
0.046,0.934,11.096,26.502,0.052
0.103,0.795,6.351,15.526,0.129
0.092,0.826,12.071,27.991,0.064
0.126,0.796,4.854,11.365,0.191
0.011,0.98,11.68,29.357,0.035
0.046,0.897,13.37,32.205,0.041
0.149,0.698,5.241,12.245,0.183
0.034,0.949,10.66,25.158,0.052
0.0,1.0,7.718,19.626,0.065
0.057,0.914,11.696,27.298,0.054
0.0,1.0,7.719,19.636,0.065
0.046,0.926,7.043,17.64,0.093
0.057,0.902,13.162,31.038,0.047
0.057,0.894,10.334,24.796,0.061
0.0,1.0,6.632,17.018,0.083
0.023,0.944,10.498,26.495,0.045
0.103,0.839,12.216,28.635,0.066
0.046,0.902,13.555,32.641,0.041
0.023,0.958,12.966,30.367,0.036
0.023,0.957,12.45,29.343,0.038
0.011,0.978,9.525,23.901,0.049
0.08,0.865,13.524,32.046,0.053
0.034,0.941,13.797,32.695,0.036
