Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.066,0.145,0.431,0.996
0.8,0.2,0.739,2.094,0.849
0.835,0.155,0.641,1.828,0.879
0.106,0.862,8.317,23.693,0.084
0.153,0.824,9.788,27.665,0.087
0.765,0.167,0.668,1.892,0.851
0.835,0.113,0.576,1.674,0.89
0.176,0.821,3.332,10.069,0.254
0.388,0.529,2.018,5.996,0.471
0.635,0.169,1.573,4.756,0.624
0.412,0.462,1.471,4.29,0.573
0.235,0.701,2.512,7.273,0.358
0.718,0.228,1.534,4.551,0.661
0.294,0.59,2.351,6.937,0.395
0.282,0.636,3.252,9.656,0.298
0.294,0.603,4.716,13.899,0.219
0.647,0.154,2.414,7.287,0.501
0.271,0.589,4.268,12.435,0.233
0.635,0.182,3.56,10.742,0.39
0.259,0.633,2.264,6.659,0.395
0.776,0.143,0.872,2.584,0.813
0.282,0.571,4.672,13.814,0.217
0.6,0.164,4.295,12.913,0.337
0.271,0.574,2.856,8.537,0.328
0.141,0.829,9.226,25.833,0.088
0.282,0.6,2.678,7.932,0.352
0.694,0.181,0.727,2.075,0.816
0.247,0.672,4.006,11.99,0.235
0.729,0.151,1.818,5.462,0.614
0.365,0.575,2.195,6.619,0.435
0.153,0.822,10.512,29.95,0.082
0.259,0.639,3.107,9.246,0.302
0.2,0.679,3.034,9.039,0.289
0.329,0.588,2.131,6.249,0.437
0.671,0.313,1.394,3.935,0.677
0.353,0.565,1.896,5.466,0.482
0.282,0.6,4.65,13.598,0.219
0.153,0.822,8.605,24.796,0.096
0.094,0.881,9.583,26.917,0.07
0.259,0.627,3.57,10.627,0.266
0.259,0.651,2.506,7.426,0.363
0.224,0.627,5.086,15.153,0.181
0.753,0.238,1.381,4.029,0.704
0.624,0.172,2.132,6.48,0.529
0.412,0.485,3.234,9.706,0.341
0.129,0.814,9.119,26.148,0.084
0.165,0.759,8.446,24.173,0.102
0.306,0.574,2.527,7.514,0.376
0.271,0.596,4.333,13.034,0.225
0.624,0.197,2.115,6.437,0.531
0.129,0.847,7.833,22.031,0.098
0.141,0.848,9.642,27.309,0.084
0.541,0.246,4.078,12.156,0.33
0.235,0.672,3.354,9.804,0.277
0.376,0.529,2.41,7.154,0.414
0.141,0.806,9.083,25.969,0.088
0.329,0.562,3.234,9.648,0.314
0.271,0.641,2.891,8.481,0.328
0.494,0.425,2.029,6.127,0.502
0.259,0.6,2.918,8.69,0.319
0.129,0.843,8.241,23.423,0.093
0.153,0.829,10.69,30.529,0.081
0.365,0.581,2.214,6.558,0.435
0.271,0.582,3.189,9.598,0.297
0.118,0.873,10.003,28.231,0.074
0.129,0.825,8.511,24.393,0.089
0.341,0.482,5.217,15.467,0.216
0.306,0.629,3.358,9.962,0.298
0.353,0.571,2.232,6.598,0.429
0.294,0.603,3.323,9.834,0.297
0.235,0.649,2.997,8.969,0.303
0.365,0.569,2.149,6.38,0.444
0.129,0.8,8.246,23.43,0.093
0.294,0.609,3.809,11.257,0.264
0.376,0.536,3.405,9.976,0.32
0.4,0.469,2.468,7.264,0.416
0.294,0.576,2.351,6.89,0.396
0.318,0.557,3.962,11.894,0.26
0.259,0.639,3.585,10.713,0.265
0.106,0.836,4.361,13.019,0.17
0.306,0.623,3.036,9.124,0.322
0.282,0.586,4.499,13.337,0.224
0.576,0.355,1.317,3.897,0.656
0.129,0.838,9.288,25.966,0.084
0.341,0.561,2.098,6.177,0.445
0.129,0.831,10.653,30.625,0.073
0.141,0.815,8.88,25.068,0.091
0.247,0.632,4.34,13.008,0.218
0.588,0.153,2.399,7.385,0.48
0.706,0.259,1.176,3.433,0.728
0.353,0.62,1.996,5.82,0.465
0.141,0.789,7.631,21.648,0.104
0.435,0.486,4.066,12.109,0.295
0.388,0.5,4.348,12.688,0.268
0.259,0.651,2.818,8.559,0.325
0.412,0.539,3.287,9.404,0.345
0.129,0.857,9.588,27.014,0.081
0.376,0.515,2.684,7.976,0.382
0.271,0.652,3.855,11.512,0.252
0.353,0.492,5.444,16.046,0.214
