Fnat,Fnonnat,iRMS,LRMS,DockQ_score
1.0,0.0,0.013,0.03,1.0
0.979,0.115,0.328,0.718,0.975
0.915,0.204,0.601,1.342,0.917
0.872,0.109,0.45,0.992,0.925
0.426,0.608,2.092,5.145,0.499
0.426,0.545,2.072,5.152,0.5
0.404,0.596,2.013,4.856,0.505
0.255,0.769,1.831,3.998,0.492
0.915,0.122,0.573,1.251,0.922
0.745,0.146,0.977,2.24,0.794
0.915,0.283,0.89,1.994,0.867
0.383,0.6,2.144,5.215,0.479
0.894,0.143,0.696,1.599,0.894
0.383,0.633,2.13,5.237,0.48
0.383,0.6,1.947,4.652,0.508
0.426,0.608,1.798,4.248,0.545
0.872,0.128,0.909,2.128,0.848
0.447,0.533,1.892,4.656,0.534
0.298,0.667,2.068,4.929,0.464
0.894,0.106,0.613,1.373,0.908
0.426,0.574,1.781,4.339,0.545
0.83,0.049,0.917,2.003,0.835
0.872,0.109,0.615,1.487,0.9
0.915,0.157,0.656,1.443,0.909
0.383,0.55,1.818,4.263,0.529
0.106,0.889,7.954,16.481,0.117
0.83,0.114,0.61,1.338,0.888
0.34,0.529,1.439,3.168,0.58
0.851,0.231,0.721,1.559,0.877
0.787,0.098,0.83,1.914,0.835
0.83,0.114,0.838,1.922,0.848
0.851,0.149,0.646,1.452,0.889
0.809,0.136,0.701,1.53,0.866
0.234,0.711,1.895,4.081,0.477
0.128,0.885,8.249,16.979,0.12
0.702,0.175,0.87,2.113,0.797
0.362,0.553,1.874,4.316,0.516
0.638,0.189,0.97,2.242,0.759
0.745,0.205,1.001,2.221,0.791
0.787,0.196,0.742,1.691,0.851
0.085,0.905,2.371,5.14,0.368
0.255,0.727,1.669,3.523,0.519
0.298,0.641,1.733,3.764,0.521
0.106,0.886,7.84,16.12,0.12
0.426,0.565,1.521,3.381,0.594
0.83,0.133,0.829,1.944,0.849
0.787,0.159,1.026,2.237,0.801
0.149,0.851,8.269,17.344,0.125
0.255,0.7,1.765,3.825,0.502
0.404,0.578,2.158,5.494,0.478
0.894,0.192,0.8,1.714,0.878
0.255,0.7,1.674,3.578,0.517
0.255,0.707,1.988,4.314,0.471
0.298,0.65,2.427,6.012,0.414
0.106,0.878,8.098,16.586,0.116
0.83,0.204,0.783,1.769,0.858
0.34,0.579,2.416,5.87,0.432
0.234,0.756,1.748,3.776,0.498
0.213,0.722,2.08,4.589,0.443
0.298,0.689,1.665,3.504,0.533
0.17,0.822,8.399,17.83,0.129
0.085,0.907,7.849,16.114,0.113
0.83,0.093,0.731,1.577,0.868
0.17,0.789,2.107,4.939,0.418
0.702,0.195,1.138,2.717,0.748
0.106,0.884,7.942,16.29,0.118
0.34,0.636,2.212,5.246,0.46
0.404,0.387,1.309,2.94,0.622
0.085,0.895,7.914,16.276,0.111
0.426,0.556,1.875,4.575,0.53
0.787,0.14,1.091,2.475,0.788
0.362,0.485,1.648,3.776,0.55
0.362,0.614,1.845,4.398,0.516
0.106,0.891,8.719,19.177,0.1
0.894,0.176,0.676,1.566,0.897
0.34,0.579,2.684,6.551,0.402
0.872,0.163,0.658,1.425,0.894
0.106,0.886,7.791,15.945,0.121
0.298,0.588,2.143,5.205,0.451
0.128,0.85,7.94,16.588,0.123
0.723,0.029,0.706,1.529,0.837
0.064,0.927,7.856,16.238,0.105
0.085,0.882,7.808,15.977,0.114
0.021,0.975,3.729,8.837,0.214
0.106,0.861,8.007,16.406,0.117
0.0,1.0,3.659,8.917,0.207
0.106,0.886,7.894,16.173,0.119
0.319,0.712,2.386,5.834,0.427
0.106,0.886,7.927,16.391,0.118
0.021,0.974,2.285,4.921,0.357
0.766,0.143,0.882,2.046,0.818
0.83,0.17,1.167,2.63,0.788
0.021,0.979,3.706,9.098,0.209
0.106,0.865,8.189,17.081,0.112
0.064,0.927,2.585,5.67,0.336
0.255,0.745,4.415,9.609,0.266
0.766,0.1,0.921,1.972,0.814
0.638,0.211,1.139,2.602,0.729
0.362,0.595,1.923,4.722,0.501
0.638,0.032,0.917,2.119,0.769
