Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.976,0.091,0.314,0.718,0.975
0.805,0.195,1.416,3.108,0.739
0.878,0.143,1.426,3.093,0.762
0.805,0.175,1.382,3.008,0.745
0.829,0.227,1.57,3.499,0.721
0.78,0.2,1.495,3.296,0.717
0.829,0.227,1.571,3.442,0.722
0.171,0.86,1.6,3.534,0.497
0.122,0.909,2.269,5.471,0.378
0.756,0.279,1.577,3.444,0.697
0.756,0.295,1.474,3.293,0.711
0.829,0.19,1.29,2.832,0.768
0.78,0.273,0.805,1.747,0.839
0.732,0.25,1.385,3.009,0.72
0.756,0.262,1.269,2.765,0.748
0.146,0.882,1.818,4.01,0.456
0.707,0.293,1.086,2.42,0.763
0.756,0.114,1.372,3.013,0.73
0.683,0.3,1.678,3.708,0.656
0.878,0.182,1.716,3.763,0.716
0.829,0.209,1.721,3.798,0.698
0.707,0.256,1.369,3.023,0.714
0.683,0.349,1.375,3.033,0.704
0.098,0.922,6.746,14.712,0.132
0.805,0.283,1.372,3.052,0.745
0.829,0.171,1.282,2.82,0.769
0.829,0.19,1.5,3.302,0.733
0.829,0.306,1.169,2.601,0.789
0.683,0.222,1.34,2.959,0.71
0.122,0.875,8.201,18.785,0.108
0.756,0.225,1.179,2.583,0.763
0.805,0.233,1.499,3.35,0.724
0.829,0.171,0.822,1.814,0.852
0.805,0.057,1.42,3.086,0.739
0.707,0.216,1.588,3.502,0.678
0.122,0.891,1.967,4.708,0.418
0.122,0.9,7.315,15.932,0.128
0.098,0.911,1.739,3.843,0.451
0.732,0.189,1.644,3.646,0.677
0.707,0.237,1.709,3.817,0.658
0.78,0.238,0.64,1.381,0.867
0.78,0.273,1.036,2.281,0.797
0.78,0.2,1.56,3.392,0.708
0.707,0.147,1.325,2.875,0.722
0.829,0.171,1.702,3.749,0.701
0.756,0.162,1.6,3.487,0.693
0.78,0.347,1.74,3.882,0.678
0.854,0.222,1.491,3.316,0.741
0.829,0.128,1.344,2.946,0.759
0.854,0.146,0.953,2.108,0.836
0.537,0.542,2.136,4.819,0.541
0.756,0.244,1.65,3.583,0.686
0.659,0.438,2.009,4.543,0.598
0.756,0.392,1.527,3.385,0.703
0.098,0.909,2.198,4.84,0.39
0.634,0.297,1.992,4.658,0.588
0.902,0.14,1.206,2.624,0.808
0.878,0.143,1.257,2.735,0.791
0.732,0.268,0.691,1.538,0.842
0.659,0.229,1.496,3.333,0.675
0.707,0.275,2.065,4.662,0.607
0.049,0.957,2.219,5.175,0.364
0.22,0.757,2.534,5.74,0.389
0.732,0.167,1.668,3.762,0.672
0.268,0.738,2.12,4.94,0.45
0.732,0.231,0.862,1.906,0.812
0.78,0.273,1.424,3.136,0.729
0.732,0.189,0.852,1.897,0.813
0.756,0.205,1.555,3.49,0.698
0.829,0.32,1.694,3.781,0.701
0.829,0.105,1.348,2.924,0.759
0.512,0.417,3.024,7.063,0.434
0.805,0.132,1.574,3.442,0.713
0.61,0.457,2.557,5.861,0.514
0.854,0.205,1.646,3.664,0.717
0.073,0.933,7.758,16.592,0.106
0.756,0.088,1.144,2.556,0.769
0.122,0.891,1.731,3.928,0.458
0.756,0.279,1.335,3.086,0.733
0.683,0.282,1.187,2.67,0.736
0.829,0.15,1.405,3.142,0.747
0.878,0.182,1.511,3.333,0.747
0.854,0.167,1.766,3.917,0.699
0.146,0.793,7.539,18.369,0.12
0.78,0.158,1.863,4.133,0.661
0.61,0.306,1.208,2.704,0.708
0.707,0.42,2.377,5.467,0.566
0.122,0.898,8.015,17.691,0.114
0.463,0.558,2.563,6.099,0.46
0.049,0.956,7.469,15.968,0.103
0.756,0.162,1.272,2.803,0.747
0.098,0.911,1.767,3.83,0.449
0.829,0.081,1.324,2.862,0.763
0.732,0.189,0.686,1.502,0.843
0.854,0.167,1.773,3.976,0.697
0.78,0.2,1.263,2.818,0.755
0.098,0.918,7.735,16.616,0.114
0.073,0.927,5.079,11.833,0.165
0.829,0.105,1.415,3.092,0.747
0.78,0.179,0.986,2.187,0.806
