Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,14.384,35.288,0.022
0.149,0.811,12.272,27.971,0.083
0.0,1.0,8.162,19.327,0.065
0.064,0.945,7.871,17.516,0.096
0.0,1.0,11.275,29.355,0.032
0.0,1.0,10.67,27.545,0.035
0.043,0.953,7.324,15.347,0.106
0.085,0.93,7.952,17.077,0.106
0.043,0.956,9.839,23.112,0.061
0.043,0.961,8.337,18.443,0.083
0.021,0.979,8.064,17.961,0.079
0.0,1.0,7.477,14.748,0.096
0.0,1.0,14.339,34.664,0.023
0.043,0.958,7.37,14.812,0.11
0.191,0.816,10.047,23.3,0.11
0.021,0.972,7.613,17.206,0.085
0.0,1.0,7.386,18.42,0.072
0.043,0.956,9.904,20.485,0.071
0.064,0.932,6.372,13.697,0.131
0.043,0.938,9.802,23.493,0.06
0.17,0.784,8.076,18.323,0.127
0.0,1.0,11.599,29.176,0.032
0.0,1.0,12.958,33.669,0.024
0.0,1.0,13.804,32.445,0.025
0.0,1.0,10.68,28.418,0.034
0.0,1.0,9.274,19.63,0.061
0.106,0.844,7.926,16.672,0.116
0.128,0.878,6.623,13.373,0.155
0.0,1.0,8.892,21.464,0.054
0.0,1.0,14.321,33.764,0.023
0.0,1.0,14.404,34.522,0.023
0.085,0.913,7.38,16.245,0.113
0.106,0.75,12.453,30.294,0.065
0.17,0.81,9.566,23.154,0.104
0.0,1.0,9.394,20.895,0.056
0.149,0.825,7.93,15.632,0.137
0.064,0.939,7.129,13.998,0.125
0.0,1.0,10.14,25.117,0.041
0.021,0.971,11.092,24.873,0.048
0.043,0.957,7.621,15.445,0.104
0.0,1.0,13.768,32.221,0.026
0.021,0.975,9.888,21.581,0.059
0.043,0.949,7.698,16.702,0.095
0.085,0.875,9.671,24.103,0.073
0.0,1.0,14.2,35.601,0.022
0.149,0.767,9.774,23.909,0.095
0.0,1.0,13.725,36.738,0.021
0.043,0.957,12.367,28.228,0.047
0.021,0.98,7.976,18.45,0.077
0.043,0.949,7.559,17.66,0.09
0.021,0.977,7.777,17.588,0.082
0.021,0.973,9.875,21.806,0.059
0.085,0.922,8.895,18.357,0.096
0.085,0.913,8.908,20.687,0.086
0.043,0.95,8.342,17.265,0.09
0.234,0.784,8.914,20.834,0.135
0.064,0.927,10.728,25.773,0.06
0.0,1.0,14.811,36.947,0.02
0.085,0.909,7.083,15.995,0.116
0.128,0.812,7.884,15.42,0.132
0.149,0.841,7.947,15.799,0.136
0.128,0.86,9.759,21.387,0.096
0.191,0.812,8.771,17.742,0.136
0.043,0.933,10.164,24.788,0.056
0.043,0.938,7.951,17.879,0.087
0.0,1.0,12.079,28.087,0.033
0.106,0.881,8.016,17.518,0.11
0.17,0.81,6.426,12.667,0.177
0.0,1.0,7.906,18.398,0.07
0.043,0.944,6.6,15.157,0.11
0.0,1.0,14.359,36.782,0.02
0.106,0.8,9.89,21.611,0.088
0.021,0.978,8.074,18.433,0.077
0.043,0.95,9.703,19.911,0.073
0.0,1.0,7.991,16.383,0.082
0.043,0.957,7.557,17.746,0.089
0.0,1.0,13.078,31.131,0.027
0.085,0.909,7.165,15.323,0.121
0.0,1.0,7.655,19.525,0.065
0.0,1.0,13.996,35.478,0.022
0.0,1.0,13.048,32.211,0.026
0.17,0.789,11.59,25.777,0.095
0.106,0.912,7.344,15.452,0.126
0.0,1.0,13.145,33.476,0.024
0.0,1.0,14.432,36.854,0.02
0.128,0.864,6.295,14.149,0.149
0.021,0.968,6.879,16.73,0.091
0.064,0.932,10.071,22.849,0.069
0.0,1.0,14.342,36.507,0.021
0.0,1.0,14.042,36.719,0.021
0.0,1.0,12.807,32.691,0.026
0.085,0.886,5.595,12.985,0.151
0.0,1.0,8.79,21.262,0.055
0.149,0.825,11.294,25.061,0.09
0.128,0.812,9.74,21.702,0.095
0.191,0.69,10.897,26.508,0.101
0.0,1.0,11.798,30.464,0.029
0.043,0.947,8.687,19.265,0.078
0.0,1.0,13.851,33.409,0.024
0.0,1.0,14.346,35.313,0.022
