Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.4,0.588,4.297,5.862,0.395
0.04,0.944,9.273,17.976,0.083
0.02,0.974,9.169,17.58,0.079
0.14,0.778,5.055,10.168,0.211
0.0,1.0,9.41,18.496,0.066
0.0,1.0,9.71,19.674,0.06
0.01,0.984,9.138,17.459,0.076
0.08,0.908,7.619,11.52,0.157
0.01,0.985,9.962,21.027,0.058
0.04,0.945,9.17,17.681,0.085
0.0,1.0,9.522,19.111,0.063
0.0,1.0,12.26,29.411,0.031
0.0,1.0,9.82,20.149,0.058
0.09,0.883,7.226,10.588,0.174
0.11,0.879,7.372,11.033,0.174
0.0,1.0,10.355,22.837,0.047
0.05,0.9,5.621,13.274,0.136
0.0,1.0,12.461,29.458,0.03
0.0,1.0,9.701,19.646,0.06
0.06,0.902,5.73,13.443,0.137
0.02,0.977,9.147,18.241,0.075
0.13,0.856,6.042,12.855,0.164
0.03,0.958,8.804,17.107,0.085
0.03,0.961,7.075,15.387,0.102
0.0,1.0,10.41,23.446,0.046
