Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.091,0.897,4.663,10.169,0.199
0.091,0.897,4.612,10.049,0.201
0.091,0.9,4.609,10.042,0.201
0.091,0.889,4.448,9.63,0.21
0.091,0.889,4.47,9.681,0.209
0.091,0.889,4.476,9.696,0.209
0.091,0.88,4.704,10.324,0.196
0.091,0.889,4.448,9.626,0.21
0.091,0.889,4.437,9.602,0.211
0.091,0.9,4.564,9.997,0.203
0.091,0.897,4.543,9.92,0.204
0.091,0.9,4.612,10.109,0.2
0.091,0.893,4.551,9.935,0.204
0.091,0.893,4.655,10.22,0.198
0.0,1.0,14.526,41.108,0.017
0.091,0.889,4.658,10.228,0.198
0.0,1.0,14.662,41.685,0.017
0.0,1.0,14.68,41.795,0.017
0.0,1.0,14.679,41.806,0.017
0.091,0.889,4.584,10.001,0.202
0.0,1.0,14.766,41.985,0.017
0.0,1.0,14.791,42.134,0.016
0.121,0.852,4.661,10.152,0.209
0.0,1.0,14.649,41.425,0.017
0.091,0.88,4.584,9.959,0.203
