Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.022,0.964,5.39,10.736,0.16
0.089,0.879,4.811,9.46,0.208
0.089,0.875,4.812,9.468,0.208
0.067,0.875,5.045,9.938,0.19
0.044,0.938,5.191,10.366,0.175
0.067,0.903,4.872,9.538,0.199
0.089,0.846,4.833,9.54,0.206
0.044,0.941,5.461,10.825,0.165
0.067,0.906,5.259,10.523,0.179
0.111,0.821,5.25,10.48,0.194
0.044,0.938,5.475,10.922,0.164
0.111,0.839,5.177,10.34,0.197
0.156,0.774,5.22,10.424,0.21
0.111,0.833,5.41,10.861,0.187
0.178,0.784,4.516,9.254,0.245
0.222,0.737,3.884,7.793,0.298
0.111,0.844,4.069,8.075,0.252
0.156,0.741,4.867,9.901,0.222
0.2,0.667,4.828,9.896,0.238
0.289,0.649,5.143,10.636,0.252
0.089,0.889,4.589,9.011,0.219
0.111,0.828,5.058,10.068,0.203
0.044,0.917,5.121,10.274,0.177
0.067,0.88,4.541,9.313,0.206
0.111,0.848,4.93,9.908,0.207
