Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.268,0.676,2.836,5.948,0.386
0.268,0.676,2.835,5.943,0.386
0.268,0.676,2.824,5.94,0.387
0.268,0.656,2.839,5.969,0.385
0.22,0.71,2.932,6.06,0.363
0.22,0.719,2.93,6.063,0.363
0.22,0.719,2.934,6.061,0.363
0.244,0.677,2.826,5.969,0.378
0.22,0.719,2.925,6.032,0.364
0.22,0.71,2.92,6.08,0.363
0.22,0.727,2.934,6.08,0.363
0.22,0.719,2.919,6.117,0.362
0.22,0.719,2.904,6.049,0.365
0.22,0.71,2.964,6.053,0.362
0.244,0.688,2.896,5.907,0.377
0.22,0.727,2.979,6.083,0.361
0.244,0.697,3.0,5.853,0.374
0.244,0.688,3.015,5.864,0.373
0.244,0.697,3.006,5.871,0.373
0.22,0.719,3.034,5.909,0.363
0.22,0.71,2.837,5.726,0.375
0.22,0.71,2.816,5.647,0.378
0.22,0.71,2.804,5.621,0.379
0.22,0.71,2.822,5.663,0.377
0.171,0.65,2.802,5.461,0.367
