Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.865,0.256,0.606,1.565,0.897
0.892,0.25,0.586,1.412,0.911
0.892,0.233,0.607,1.465,0.907
0.892,0.233,0.643,1.639,0.9
0.865,0.256,0.633,1.558,0.894
0.892,0.25,0.589,1.43,0.91
0.865,0.22,0.638,1.591,0.893
0.865,0.238,0.644,1.589,0.892
0.865,0.238,0.628,1.558,0.894
0.865,0.22,0.639,1.609,0.892
0.865,0.238,0.596,1.556,0.899
0.892,0.233,0.598,1.438,0.909
0.892,0.214,0.566,1.456,0.913
0.865,0.238,0.6,1.573,0.898
0.892,0.214,0.576,1.495,0.911
0.892,0.312,0.693,1.866,0.89
0.838,0.279,0.702,1.828,0.871
0.676,0.39,1.44,3.996,0.672
0.676,0.375,1.419,3.936,0.676
0.595,0.389,1.229,3.41,0.685
0.595,0.405,1.307,3.661,0.669
0.649,0.314,1.226,3.441,0.702
0.703,0.333,1.196,3.317,0.727
0.649,0.368,1.244,3.471,0.699
0.676,0.324,1.116,3.161,0.733
