Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.333,0.688,2.676,9.359,0.341
0.367,0.711,2.759,9.723,0.343
0.367,0.645,2.678,9.373,0.352
0.367,0.703,2.767,9.752,0.342
0.367,0.703,2.735,9.624,0.345
0.367,0.676,2.682,9.376,0.352
0.367,0.656,2.679,9.365,0.352
0.367,0.711,2.749,9.691,0.344
0.367,0.656,2.662,9.318,0.354
0.367,0.703,2.72,9.572,0.347
0.367,0.718,2.636,9.184,0.358
0.367,0.718,2.62,9.123,0.359
0.367,0.686,2.603,9.06,0.361
0.4,0.692,2.623,9.137,0.37
0.367,0.656,2.644,9.255,0.356
0.367,0.694,2.61,9.083,0.361
0.367,0.656,2.638,9.218,0.357
0.367,0.645,2.632,9.204,0.357
0.367,0.645,2.635,9.215,0.357
0.367,0.633,2.64,9.237,0.356
0.333,0.677,2.626,9.182,0.347
0.333,0.667,2.614,9.14,0.348
0.333,0.667,2.617,9.153,0.348
0.333,0.677,2.601,9.092,0.35
0.333,0.667,2.606,9.098,0.349
