Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.038,0.964,4.445,11.114,0.17
0.038,0.966,4.44,10.993,0.171
0.038,0.966,4.41,10.983,0.172
0.0,1.0,4.729,11.445,0.149
0.075,0.943,10.358,20.244,0.082
0.0,1.0,4.507,10.974,0.158
0.0,1.0,4.632,11.236,0.153
0.019,0.98,4.803,11.492,0.154
0.0,1.0,4.499,10.989,0.158
0.0,1.0,4.778,11.489,0.148
0.0,1.0,4.794,11.538,0.147
0.0,1.0,4.512,10.981,0.158
0.0,1.0,4.511,10.951,0.159
0.0,1.0,4.762,11.516,0.148
0.0,1.0,4.774,11.51,0.148
0.0,1.0,4.702,11.345,0.151
0.0,1.0,4.757,11.46,0.148
0.0,1.0,4.742,11.482,0.148
0.0,1.0,4.531,11.003,0.158
0.075,0.93,10.163,19.778,0.084
0.057,0.936,10.255,19.955,0.077
0.057,0.927,4.344,9.961,0.195
0.038,0.951,4.537,10.298,0.18
0.038,0.956,4.666,10.19,0.181
0.075,0.923,4.865,10.502,0.186
