Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.067,0.921,6.028,9.072,0.197
0.067,0.921,5.976,8.933,0.2
0.089,0.895,5.938,8.753,0.211
0.089,0.897,5.947,8.731,0.212
0.067,0.914,6.004,8.85,0.202
0.089,0.9,5.825,8.083,0.225
0.089,0.879,6.03,9.001,0.206
0.067,0.912,6.025,8.988,0.199
0.089,0.902,5.925,8.438,0.218
0.111,0.865,6.2,8.948,0.214
0.089,0.889,6.149,9.079,0.204
0.089,0.9,6.4,9.462,0.196
0.089,0.882,6.069,9.177,0.203
0.089,0.902,6.756,10.411,0.179
0.067,0.917,6.315,9.27,0.192
0.089,0.9,7.004,10.976,0.169
0.089,0.879,6.096,9.26,0.201
0.067,0.925,7.175,10.399,0.17
0.067,0.923,6.475,9.862,0.181
0.067,0.93,6.715,10.276,0.173
0.089,0.886,6.937,10.02,0.184
0.067,0.919,6.954,10.266,0.173
0.067,0.919,6.484,10.17,0.176
0.089,0.886,6.835,9.68,0.19
0.089,0.886,7.004,10.323,0.179
