Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.438,0.553,1.469,4.803,0.569
0.479,0.531,1.47,4.797,0.583
0.271,0.711,5.288,15.03,0.196
0.438,0.543,1.454,4.724,0.572
0.229,0.756,5.406,15.255,0.179
0.25,0.733,5.296,15.11,0.188
0.25,0.739,5.308,15.164,0.188
0.25,0.739,5.307,15.167,0.188
0.25,0.739,5.301,15.145,0.188
0.229,0.766,5.228,14.842,0.184
0.25,0.727,5.241,14.936,0.19
0.25,0.733,5.276,15.012,0.189
0.25,0.739,5.276,15.058,0.189
0.271,0.723,5.216,14.854,0.198
0.25,0.721,5.264,15.007,0.189
0.25,0.733,5.27,15.002,0.189
0.208,0.783,5.183,14.694,0.179
0.25,0.739,5.277,15.054,0.189
0.25,0.745,5.204,14.793,0.192
0.208,0.773,5.187,14.714,0.179
0.229,0.75,5.198,14.786,0.185
0.229,0.756,5.287,15.026,0.182
0.208,0.762,5.25,14.922,0.176
0.229,0.718,5.241,14.943,0.183
0.25,0.733,5.275,15.048,0.189
