Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.791,0.227,0.996,2.004,0.811
0.791,0.209,1.019,1.933,0.809
0.837,0.2,1.018,1.967,0.824
0.791,0.171,1.257,1.96,0.776
0.814,0.186,1.266,1.984,0.782
0.791,0.19,1.242,1.915,0.779
0.791,0.209,0.967,1.869,0.817
0.814,0.186,1.225,1.832,0.79
0.814,0.205,1.0,1.844,0.821
0.814,0.167,1.264,1.998,0.782
0.791,0.19,1.209,1.832,0.784
0.791,0.19,1.277,1.987,0.773
0.791,0.227,1.277,1.981,0.773
0.791,0.227,1.05,2.041,0.802
0.791,0.171,1.232,1.896,0.78
0.791,0.227,1.078,2.14,0.797
0.814,0.186,1.221,1.97,0.788
0.791,0.15,1.299,2.064,0.769
0.674,0.171,1.334,2.413,0.719
0.791,0.081,1.211,2.147,0.779
0.767,0.108,1.246,2.079,0.768
0.116,0.792,7.537,15.554,0.128
0.116,0.815,7.666,15.992,0.124
0.14,0.793,7.833,16.275,0.13
0.093,0.81,7.968,16.482,0.112
