Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,7.864,20.374,0.061
0.0,1.0,8.083,20.978,0.058
0.02,0.976,7.183,18.593,0.078
0.02,0.977,6.961,17.97,0.083
0.041,0.959,6.894,17.774,0.091
0.0,1.0,8.316,21.677,0.055
0.01,0.986,7.88,20.523,0.064
0.0,1.0,7.868,20.548,0.06
0.02,0.972,7.338,19.07,0.075
0.194,0.789,4.267,10.387,0.235
0.235,0.793,5.215,12.736,0.206
0.163,0.83,4.901,11.981,0.195
0.173,0.828,4.914,12.017,0.197
0.245,0.774,5.019,12.334,0.216
0.153,0.851,4.786,11.689,0.196
0.173,0.819,4.642,11.335,0.209
0.0,1.0,9.439,24.685,0.044
0.204,0.823,5.22,12.864,0.195
0.235,0.777,4.854,11.88,0.22
0.265,0.745,4.72,11.51,0.237
0.224,0.511,3.701,8.353,0.291
0.245,0.76,4.352,10.517,0.249
0.235,0.629,3.241,7.567,0.323
0.286,0.678,3.091,7.19,0.353
0.051,0.945,5.888,14.938,0.119
