Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.219,0.731,2.589,7.364,0.347
0.219,0.731,2.623,7.394,0.345
0.219,0.731,2.617,7.407,0.345
0.219,0.72,2.603,7.378,0.346
0.188,0.75,2.611,7.384,0.335
0.188,0.75,2.616,7.397,0.335
0.188,0.76,2.612,7.38,0.335
0.188,0.75,2.622,7.419,0.334
0.188,0.75,2.591,7.358,0.337
0.219,0.75,2.615,7.43,0.344
0.219,0.72,2.534,7.165,0.354
0.188,0.75,2.544,7.215,0.342
0.219,0.72,2.543,7.181,0.353
0.188,0.739,2.567,7.279,0.34
0.219,0.731,2.587,7.401,0.346
0.188,0.727,2.578,7.345,0.338
0.219,0.72,2.501,7.058,0.358
0.219,0.696,2.563,7.301,0.35
0.188,0.806,2.828,8.162,0.309
0.219,0.696,2.542,7.222,0.353
0.219,0.682,2.456,6.918,0.364
0.188,0.727,2.558,7.315,0.339
0.219,0.696,2.523,7.206,0.354
0.188,0.714,2.516,7.144,0.345
0.188,0.714,2.494,7.143,0.346
