Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.041,0.939,11.645,28.155,0.047
0.041,0.94,11.661,28.194,0.047
0.041,0.939,11.616,28.082,0.047
0.041,0.939,11.633,28.122,0.047
0.041,0.938,11.633,28.124,0.047
0.081,0.887,11.863,28.659,0.059
0.081,0.891,11.821,28.551,0.059
0.041,0.939,11.639,28.132,0.047
0.081,0.88,11.725,28.323,0.06
0.5,0.422,1.654,3.816,0.594
0.068,0.902,11.706,28.276,0.056
0.473,0.286,1.596,3.756,0.593
0.527,0.316,1.544,3.594,0.62
0.081,0.9,11.827,28.573,0.059
0.459,0.277,1.629,3.845,0.583
0.054,0.926,11.907,28.765,0.05
0.068,0.907,11.878,28.687,0.055
0.054,0.923,11.884,28.704,0.05
0.446,0.298,1.71,4.006,0.566
0.054,0.926,11.877,28.684,0.05
0.486,0.321,1.988,4.723,0.538
0.5,0.327,2.099,5.072,0.525
0.486,0.333,1.981,4.718,0.538
0.486,0.345,2.188,5.279,0.509
0.041,0.935,11.712,28.311,0.046
