Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.18,0.735,4.12,11.189,0.221
0.18,0.735,4.099,11.138,0.222
0.18,0.735,4.106,11.152,0.222
0.18,0.735,4.106,11.154,0.222
0.18,0.735,4.06,11.019,0.224
0.18,0.735,4.027,10.952,0.226
0.14,0.75,4.031,10.958,0.212
0.0,1.0,26.583,74.003,0.005
0.0,1.0,26.199,73.063,0.006
0.0,1.0,25.971,72.973,0.006
0.0,1.0,26.744,74.424,0.005
0.0,1.0,26.831,74.767,0.005
0.0,1.0,26.593,74.064,0.005
0.0,1.0,25.941,72.891,0.006
0.0,1.0,26.857,74.843,0.005
0.0,1.0,26.888,74.899,0.005
0.0,1.0,27.081,75.384,0.005
0.04,0.818,3.971,10.832,0.182
0.06,0.75,3.995,10.902,0.187
0.0,1.0,26.575,74.045,0.005
0.0,1.0,26.619,74.699,0.005
0.0,1.0,26.945,75.309,0.005
0.0,1.0,27.069,75.673,0.005
0.0,1.0,27.349,76.613,0.005
0.0,0.0,10.978,27.935,0.034
