Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.25,0.769,4.952,13.894,0.202
0.222,0.784,4.882,13.413,0.198
0.25,0.775,4.585,12.689,0.219
0.222,0.784,4.949,13.685,0.195
0.222,0.765,5.286,14.506,0.184
0.306,0.756,2.88,8.41,0.341
0.278,0.75,3.276,9.549,0.298
0.278,0.75,3.176,9.466,0.302
0.333,0.647,4.13,12.033,0.261
0.306,0.711,4.004,11.707,0.258
0.278,0.787,4.575,12.618,0.229
0.222,0.758,5.961,16.42,0.164
0.222,0.724,6.359,17.558,0.155
0.278,0.796,5.115,13.747,0.211
0.222,0.75,5.778,15.979,0.169
0.278,0.8,4.86,13.477,0.216
0.333,0.721,5.256,14.429,0.222
0.25,0.735,6.151,17.053,0.168
0.194,0.731,6.579,18.209,0.141
0.333,0.739,5.757,15.783,0.207
0.194,0.75,5.935,16.715,0.153
0.167,0.786,6.003,17.151,0.141
0.167,0.76,6.852,19.471,0.124
0.139,0.792,6.685,18.779,0.119
0.139,0.762,7.068,20.091,0.111
