Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.197,0.779,2.492,6.593,0.363
0.197,0.776,2.719,7.172,0.338
0.197,0.754,2.4,6.38,0.373
0.197,0.779,2.623,6.927,0.348
0.171,0.787,2.432,6.458,0.36
0.263,0.718,2.281,6.041,0.41
0.276,0.661,2.34,6.198,0.407
0.276,0.661,2.321,6.153,0.409
0.184,0.774,2.461,6.518,0.362
0.289,0.656,2.142,5.66,0.437
0.289,0.686,2.338,6.19,0.411
0.289,0.651,2.291,6.125,0.416
0.276,0.672,2.289,6.109,0.412
0.263,0.677,2.109,5.569,0.433
0.132,0.804,2.455,6.549,0.344
0.289,0.676,2.133,5.631,0.438
0.276,0.696,2.388,6.317,0.401
0.289,0.681,2.172,5.72,0.434
0.184,0.763,2.514,6.643,0.356
0.263,0.667,2.124,5.581,0.432
0.145,0.788,2.508,6.701,0.342
0.158,0.684,2.299,6.041,0.374
0.211,0.619,2.107,5.38,0.42
0.158,0.6,2.337,6.154,0.369
0.171,0.639,2.389,6.306,0.366
