Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.033,0.938,7.738,16.385,0.094
0.033,0.938,7.744,16.394,0.094
0.033,0.935,7.708,16.292,0.094
0.033,0.943,7.737,16.322,0.094
0.033,0.95,7.938,16.607,0.092
0.033,0.949,7.876,16.456,0.093
0.033,0.944,7.816,16.411,0.093
0.033,0.943,7.895,16.532,0.092
0.033,0.95,8.137,16.883,0.089
0.033,0.938,8.137,17.006,0.089
0.033,0.943,7.86,16.484,0.093
0.033,0.943,7.906,16.588,0.092
0.033,0.944,7.903,16.568,0.092
0.033,0.944,7.798,16.394,0.093
0.033,0.941,7.948,16.643,0.091
0.033,0.946,7.853,16.488,0.093
0.033,0.943,7.909,16.543,0.092
0.033,0.949,8.094,16.808,0.09
0.033,0.944,7.949,16.583,0.092
0.033,0.944,7.868,16.437,0.093
0.033,0.941,7.846,16.411,0.093
0.033,0.944,7.899,16.526,0.092
0.033,0.938,7.876,16.492,0.093
0.033,0.941,7.834,16.397,0.093
0.033,0.941,7.832,16.394,0.093
