Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.013,0.986,4.235,13.411,0.137
0.013,0.986,4.241,13.412,0.137
0.013,0.985,4.233,13.389,0.137
0.013,0.986,4.249,13.437,0.137
0.013,0.986,4.228,13.383,0.138
0.013,0.986,4.21,13.287,0.139
0.013,0.986,4.114,13.235,0.141
0.013,0.985,4.273,13.517,0.135
0.013,0.985,4.154,13.121,0.141
0.013,0.985,4.1,13.176,0.142
0.013,0.985,4.121,13.263,0.14
0.013,0.983,4.134,13.283,0.14
0.04,0.952,3.818,12.273,0.166
0.053,0.937,3.764,12.077,0.174
0.013,0.981,4.727,15.022,0.116
0.013,0.981,4.718,14.984,0.116
0.053,0.929,3.649,11.71,0.181
0.147,0.744,9.201,29.027,0.084
0.0,1.0,6.595,21.263,0.062
0.04,0.945,3.576,11.437,0.182
0.0,1.0,5.85,18.86,0.077
0.0,1.0,7.26,23.354,0.053
0.067,0.891,5.49,17.291,0.11
0.013,0.98,4.863,15.421,0.111
0.0,1.0,12.165,39.879,0.019
