Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.538,0.481,1.38,3.776,0.638
0.577,0.483,1.372,3.756,0.653
0.538,0.481,1.339,3.678,0.646
0.538,0.481,1.339,3.676,0.646
0.692,0.455,1.288,3.58,0.706
0.577,0.483,1.379,3.764,0.652
0.577,0.483,1.339,3.673,0.659
0.577,0.464,1.372,3.75,0.653
0.577,0.483,1.376,3.765,0.652
0.577,0.483,1.342,3.675,0.658
0.538,0.481,1.353,3.739,0.643
0.692,0.419,1.243,3.432,0.715
0.692,0.438,1.266,3.513,0.71
0.654,0.433,1.27,3.522,0.697
0.692,0.455,1.228,3.38,0.718
0.538,0.462,1.315,3.599,0.651
0.577,0.5,1.35,3.691,0.657
0.538,0.462,1.317,3.604,0.65
0.577,0.464,1.337,3.672,0.659
0.577,0.5,1.354,3.7,0.656
0.538,0.462,1.311,3.584,0.651
0.577,0.483,1.35,3.683,0.657
0.577,0.5,1.356,3.704,0.656
0.577,0.5,1.352,3.685,0.657
0.538,0.462,1.325,3.635,0.649
