Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.184,0.789,4.977,9.738,0.233
0.161,0.807,4.974,9.756,0.225
0.172,0.786,4.93,9.603,0.232
0.172,0.783,4.95,9.768,0.229
0.184,0.785,4.912,9.561,0.237
0.172,0.783,4.999,9.908,0.226
0.167,0.788,5.044,10.11,0.221
0.172,0.784,5.035,10.078,0.223
0.167,0.777,5.214,10.614,0.211
0.155,0.775,5.378,11.208,0.197
0.155,0.789,5.095,10.222,0.215
0.172,0.774,5.169,10.479,0.216
0.167,0.772,5.357,11.233,0.201
0.178,0.76,5.344,11.154,0.206
0.184,0.752,5.228,10.746,0.215
0.161,0.767,5.319,11.1,0.201
0.172,0.76,5.355,11.2,0.204
0.172,0.766,5.364,11.248,0.203
0.006,0.993,7.673,18.3,0.073
0.08,0.884,6.309,14.005,0.134
0.167,0.756,5.25,10.895,0.207
0.011,0.982,9.274,23.09,0.052
0.161,0.759,5.493,11.718,0.192
0.161,0.772,5.409,11.436,0.196
0.149,0.78,5.049,10.141,0.214
