Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.048,0.936,12.09,24.693,0.056
0.032,0.959,12.573,25.692,0.048
0.048,0.921,12.625,26.085,0.053
0.226,0.741,3.863,8.128,0.293
0.194,0.76,3.892,8.384,0.277
0.081,0.857,4.357,9.301,0.214
0.081,0.875,4.544,9.593,0.206
0.177,0.761,3.868,8.256,0.274
0.129,0.8,3.898,8.376,0.255
0.081,0.861,4.658,9.781,0.202
0.242,0.732,3.787,7.951,0.304
0.065,0.882,4.46,9.357,0.206
0.032,0.935,11.85,24.391,0.052
0.129,0.837,4.062,8.396,0.252
0.129,0.867,6.635,13.582,0.153
0.194,0.782,3.628,7.523,0.3
0.21,0.745,3.57,7.347,0.311
0.129,0.84,3.848,8.022,0.263
0.113,0.854,4.829,10.077,0.206
0.226,0.622,2.572,5.088,0.405
0.242,0.651,2.487,4.848,0.421
0.048,0.909,4.487,9.45,0.199
0.194,0.657,2.576,5.015,0.396
0.21,0.667,2.703,5.423,0.385
0.129,0.724,2.927,5.832,0.339
