Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,6.148,19.892,0.07
0.0,1.0,6.471,21.067,0.064
0.0,1.0,5.971,19.485,0.073
0.0,1.0,5.774,18.705,0.078
0.0,1.0,5.869,19.262,0.075
0.0,1.0,5.824,19.101,0.076
0.0,1.0,6.19,20.288,0.068
0.0,1.0,5.849,19.19,0.075
0.0,1.0,6.03,19.742,0.072
0.0,1.0,6.215,20.354,0.068
0.0,1.0,6.314,20.665,0.066
0.0,1.0,6.164,20.173,0.069
0.0,1.0,6.408,20.827,0.065
0.0,1.0,5.864,18.989,0.076
0.0,1.0,6.085,19.919,0.07
0.0,1.0,6.182,20.29,0.068
0.0,1.0,6.498,21.118,0.063
0.0,1.0,5.836,18.98,0.076
0.0,1.0,5.993,19.518,0.073
0.0,1.0,6.241,20.287,0.068
0.0,1.0,6.304,20.489,0.067
0.0,1.0,6.077,19.898,0.071
0.011,0.987,6.841,21.336,0.065
0.0,1.0,6.168,20.041,0.069
0.0,1.0,6.086,19.827,0.071
