Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.254,0.615,3.461,6.85,0.34
0.254,0.625,3.215,5.786,0.372
0.288,0.595,3.505,7.078,0.345
0.254,0.625,3.54,7.169,0.33
0.186,0.761,7.693,19.121,0.129
0.169,0.756,7.586,18.872,0.125
0.237,0.65,4.058,8.764,0.281
0.305,0.561,3.277,6.036,0.381
0.153,0.775,7.566,18.811,0.12
0.153,0.786,7.417,18.41,0.123
0.169,0.773,7.34,18.207,0.13
0.186,0.761,7.522,18.635,0.132
0.034,0.946,5.738,13.711,0.125
0.169,0.787,7.433,18.378,0.128
0.203,0.733,7.587,18.855,0.137
0.203,0.733,7.455,18.452,0.139
0.203,0.721,7.565,18.767,0.137
0.22,0.745,7.416,18.332,0.146
0.136,0.8,7.721,19.2,0.112
0.203,0.765,7.457,18.429,0.139
0.169,0.767,7.425,18.374,0.128
0.136,0.8,7.508,18.605,0.116
0.153,0.769,5.668,13.587,0.166
0.102,0.846,7.605,18.856,0.103
0.136,0.784,7.548,18.716,0.115
