Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,5.993,18.65,0.077
0.0,1.0,5.913,18.304,0.079
0.035,0.947,10.344,30.628,0.042
0.026,0.96,10.354,30.663,0.039
0.043,0.936,10.377,30.733,0.045
0.035,0.944,10.153,30.071,0.043
0.0,1.0,7.014,21.743,0.059
0.035,0.957,9.596,28.561,0.047
0.043,0.936,9.81,29.077,0.048
0.043,0.932,9.731,28.857,0.049
0.026,0.964,4.744,14.877,0.121
0.026,0.955,9.823,29.099,0.042
0.035,0.95,9.687,28.713,0.046
0.009,0.986,8.086,24.054,0.051
0.035,0.943,10.536,31.231,0.041
0.0,1.0,5.778,17.94,0.082
0.122,0.829,5.264,15.67,0.141
0.017,0.967,9.808,29.087,0.04
0.096,0.855,5.393,16.111,0.128
0.0,1.0,5.912,18.359,0.079
0.078,0.852,5.726,16.969,0.114
0.009,0.986,5.574,16.897,0.093
0.0,1.0,5.878,18.238,0.08
0.009,0.977,8.032,23.932,0.051
0.0,1.0,5.806,18.005,0.082
