Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.227,0.696,1.954,3.83,0.476
0.227,0.691,1.967,3.94,0.472
0.16,0.806,2.47,4.698,0.398
0.107,0.889,2.026,4.115,0.424
0.147,0.836,2.079,4.231,0.43
0.16,0.838,1.956,4.0,0.45
0.147,0.847,2.09,4.089,0.433
0.187,0.754,2.259,4.435,0.426
0.24,0.727,2.056,4.372,0.459
0.12,0.855,7.094,16.972,0.121
0.133,0.841,7.137,17.07,0.125
0.187,0.788,1.914,3.894,0.465
0.12,0.864,6.806,16.285,0.127
0.267,0.683,2.272,5.002,0.438
0.133,0.861,6.934,16.605,0.129
0.107,0.869,7.606,18.246,0.107
0.147,0.843,1.993,4.028,0.442
0.12,0.873,2.092,4.368,0.417
0.12,0.855,7.254,17.415,0.118
0.2,0.797,4.023,9.283,0.259
0.12,0.873,7.338,17.585,0.117
0.133,0.855,6.992,16.799,0.127
0.133,0.848,6.906,16.607,0.129
0.093,0.889,6.977,16.78,0.114
0.12,0.886,6.176,14.896,0.14
