Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.014,0.983,8.21,19.862,0.067
0.014,0.985,8.462,20.502,0.064
0.014,0.981,9.25,22.165,0.056
0.056,0.938,8.802,21.058,0.075
0.042,0.936,8.628,20.639,0.072
0.254,0.69,2.192,4.514,0.451
0.042,0.947,8.827,21.158,0.07
0.31,0.633,1.676,2.84,0.551
0.38,0.542,1.724,3.051,0.566
0.535,0.397,1.628,2.566,0.637
0.31,0.639,1.991,3.868,0.5
0.239,0.691,2.008,3.806,0.477
0.014,0.981,8.352,20.028,0.066
0.268,0.604,4.004,9.442,0.279
0.113,0.864,6.43,15.265,0.134
0.07,0.896,5.809,13.699,0.137
0.352,0.457,2.197,4.85,0.475
0.31,0.633,1.956,3.672,0.508
0.028,0.971,7.808,18.752,0.078
0.028,0.968,9.062,21.665,0.063
0.296,0.667,2.34,4.902,0.446
0.028,0.969,8.092,19.287,0.075
0.014,0.982,7.107,17.122,0.085
0.324,0.603,2.032,3.933,0.5
0.324,0.603,2.146,4.367,0.481
