Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.543,0.406,1.841,3.581,0.597
0.543,0.406,1.876,3.577,0.594
0.514,0.438,1.874,3.624,0.584
0.571,0.412,1.852,3.623,0.605
0.514,0.455,1.905,3.642,0.581
0.543,0.424,1.895,3.578,0.593
0.543,0.424,1.938,3.578,0.589
0.543,0.424,1.935,3.583,0.589
0.571,0.429,1.851,3.613,0.605
0.486,0.485,1.847,3.607,0.577
0.514,0.419,1.804,3.532,0.592
0.543,0.441,1.771,3.467,0.606
0.543,0.441,1.818,3.491,0.601
0.6,0.447,1.722,3.263,0.634
0.629,0.45,1.751,3.387,0.638
0.514,0.455,1.798,3.437,0.595
0.6,0.488,1.774,3.416,0.626
0.6,0.475,1.787,3.43,0.624
0.571,0.474,1.784,3.47,0.614
0.629,0.436,1.885,3.548,0.623
0.571,0.429,1.883,3.52,0.604
0.486,0.528,1.861,3.512,0.578
0.514,0.471,1.94,3.561,0.58
0.571,0.474,1.915,3.572,0.601
0.514,0.5,1.918,3.48,0.583
