Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.25,0.579,5.279,13.029,0.208
0.281,0.591,5.113,12.744,0.223
0.219,0.632,5.414,13.384,0.192
0.219,0.632,5.271,13.039,0.197
0.25,0.714,5.451,13.471,0.202
0.25,0.704,5.427,13.409,0.203
0.25,0.714,5.45,13.469,0.202
0.25,0.714,5.459,13.492,0.201
0.25,0.652,5.134,12.682,0.213
0.25,0.714,5.446,13.459,0.202
0.219,0.588,5.261,12.934,0.199
0.25,0.619,4.603,11.507,0.233
0.312,0.643,3.682,10.189,0.288
0.25,0.704,5.413,13.325,0.204
0.188,0.684,5.152,12.639,0.192
0.281,0.55,3.392,9.15,0.303
0.25,0.692,5.469,13.493,0.201
0.25,0.714,5.424,13.346,0.203
0.25,0.6,3.461,9.208,0.289
0.25,0.579,2.953,7.918,0.33
0.0,1.0,4.827,11.857,0.143
0.188,0.7,5.301,13.024,0.187
0.0,1.0,4.821,11.816,0.143
0.188,0.625,4.87,11.969,0.203
0.281,0.5,3.458,9.234,0.299
