Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.028,0.97,6.935,18.808,0.081
0.028,0.973,6.936,18.769,0.081
0.056,0.949,6.927,18.715,0.09
0.0,1.0,12.887,30.635,0.028
0.0,1.0,12.687,30.454,0.029
0.0,1.0,11.636,29.866,0.03
0.0,1.0,11.648,29.691,0.031
0.0,1.0,11.887,29.01,0.032
0.0,1.0,12.669,30.87,0.028
0.0,1.0,11.563,29.228,0.032
0.0,1.0,11.081,28.495,0.033
0.0,1.0,11.034,28.564,0.033
0.0,1.0,12.917,33.223,0.025
0.056,0.955,6.895,18.642,0.091
0.0,1.0,11.905,28.292,0.033
0.0,1.0,11.733,27.93,0.034
0.0,1.0,12.216,31.769,0.027
0.0,1.0,11.485,30.131,0.03
0.0,1.0,11.241,26.138,0.038
0.0,1.0,9.704,25.67,0.041
0.194,0.877,6.667,15.312,0.159
0.0,1.0,9.727,23.333,0.047
0.111,0.92,7.703,17.758,0.111
0.139,0.9,7.603,17.809,0.121
0.167,0.9,7.9,17.186,0.133
