Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,6.462,14.807,0.1
0.0,1.0,6.357,14.504,0.103
0.011,0.986,5.226,11.537,0.146
0.011,0.986,5.254,11.57,0.146
0.011,0.986,5.254,11.609,0.145
0.023,0.975,5.209,11.435,0.152
0.023,0.976,5.004,11.11,0.158
0.011,0.987,5.222,11.556,0.146
0.0,1.0,6.303,14.51,0.103
0.011,0.988,4.848,10.986,0.158
0.023,0.976,5.142,11.451,0.152
0.046,0.957,4.869,10.558,0.175
0.034,0.964,4.871,10.753,0.169
0.023,0.977,5.008,11.237,0.156
0.023,0.976,4.84,10.84,0.164
0.046,0.945,5.807,13.181,0.134
0.0,1.0,5.8,12.972,0.121
0.0,1.0,6.16,13.809,0.11
0.023,0.968,5.862,13.367,0.124
0.08,0.931,8.416,18.57,0.095
0.0,1.0,5.613,12.61,0.126
0.0,1.0,5.782,13.124,0.12
0.069,0.927,4.59,9.768,0.199
0.0,1.0,5.083,10.837,0.154
0.0,1.0,5.833,13.163,0.119
