Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.07,0.902,7.737,19.796,0.087
0.088,0.868,7.713,19.759,0.093
0.123,0.851,7.424,19.092,0.109
0.123,0.844,7.404,19.042,0.109
0.123,0.841,7.402,19.06,0.109
0.105,0.864,7.429,19.143,0.103
0.14,0.83,7.435,19.23,0.114
0.14,0.805,7.549,19.512,0.113
0.123,0.806,7.488,19.303,0.108
0.123,0.829,7.271,18.743,0.111
0.14,0.795,7.505,19.38,0.113
0.14,0.814,7.526,19.451,0.113
0.123,0.833,7.505,19.436,0.107
0.123,0.844,7.425,19.214,0.109
0.105,0.846,7.203,18.547,0.107
0.105,0.824,7.393,19.037,0.104
0.14,0.81,7.392,19.054,0.115
0.123,0.821,7.301,18.805,0.111
0.158,0.78,7.511,19.424,0.119
0.105,0.85,7.168,18.44,0.107
0.105,0.842,7.205,18.54,0.107
0.14,0.814,7.121,18.327,0.12
0.158,0.775,7.926,20.607,0.113
0.14,0.81,7.693,19.973,0.11
0.123,0.829,7.428,19.134,0.109
