Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,6.591,18.405,0.075
0.0,1.0,6.525,17.933,0.078
0.0,1.0,6.6,19.009,0.072
0.0,1.0,6.382,22.147,0.06
0.0,1.0,6.563,20.599,0.065
0.0,1.0,6.618,16.236,0.088
0.0,1.0,6.334,19.275,0.072
0.012,0.991,6.152,24.138,0.059
0.0,1.0,7.382,11.182,0.135
0.059,0.943,5.75,14.694,0.124
0.0,1.0,6.601,16.607,0.086
0.012,0.987,6.284,19.669,0.074
0.094,0.909,5.355,14.523,0.141
0.082,0.915,5.386,18.609,0.109
0.012,0.987,6.16,19.712,0.075
0.0,1.0,6.476,20.495,0.066
0.094,0.905,5.391,18.723,0.112
0.012,0.987,6.241,17.266,0.087
0.0,1.0,6.476,21.114,0.063
0.118,0.872,9.431,23.93,0.085
0.012,0.988,6.287,23.339,0.061
0.035,0.957,5.883,19.354,0.086
0.012,0.985,6.145,15.242,0.102
0.0,1.0,6.1,18.857,0.075
0.012,0.986,6.131,17.934,0.084
