Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.125,0.839,5.169,10.196,0.204
0.05,0.952,8.781,16.071,0.099
0.1,0.875,4.973,9.799,0.204
0.075,0.903,5.15,10.289,0.186
0.05,0.939,8.947,16.186,0.098
0.05,0.951,8.694,15.828,0.101
0.05,0.933,9.062,16.26,0.097
0.075,0.917,7.962,14.749,0.12
0.05,0.941,9.398,16.964,0.092
0.05,0.946,8.85,15.991,0.099
0.05,0.949,8.589,15.602,0.103
0.1,0.875,8.878,16.064,0.116
0.05,0.943,8.893,15.999,0.099
0.05,0.935,8.788,15.889,0.1
0.075,0.914,8.446,15.418,0.113
0.05,0.947,8.529,15.506,0.104
0.05,0.935,8.964,16.07,0.099
0.05,0.947,8.672,15.665,0.102
0.075,0.923,8.313,15.144,0.115
0.05,0.95,8.531,15.501,0.104
0.125,0.839,6.145,11.582,0.177
0.1,0.875,8.507,15.445,0.121
0.15,0.846,4.771,9.131,0.235
0.125,0.815,5.902,11.327,0.182
0.1,0.871,6.648,12.632,0.153
