Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.111,0.828,4.067,8.735,0.239
0.156,0.75,4.834,10.498,0.213
0.311,0.611,3.82,7.905,0.327
0.067,0.919,4.68,9.674,0.199
0.111,0.878,4.442,9.394,0.221
0.089,0.875,6.551,16.066,0.119
0.178,0.704,4.041,8.338,0.269
0.222,0.706,3.949,8.095,0.291
0.089,0.846,5.2,11.489,0.173
0.089,0.879,6.776,16.126,0.118
0.133,0.778,3.873,7.952,0.266
0.067,0.893,5.082,11.474,0.167
0.089,0.846,5.214,11.524,0.173
0.022,0.963,8.465,20.068,0.068
0.089,0.857,4.658,10.224,0.197
0.0,1.0,7.557,18.039,0.073
0.133,0.769,4.389,9.828,0.222
0.089,0.862,4.527,9.84,0.205
0.022,0.971,8.897,21.317,0.062
0.222,0.667,4.363,10.017,0.249
0.111,0.808,4.527,9.417,0.22
0.089,0.871,4.948,10.801,0.185
0.111,0.857,5.051,12.088,0.174
0.111,0.833,4.342,9.027,0.229
0.067,0.912,7.752,18.527,0.092
0.044,0.926,5.783,13.299,0.133
0.089,0.879,4.319,9.133,0.22
0.2,0.667,4.052,8.585,0.272
0.044,0.941,7.798,19.078,0.082
0.067,0.893,4.686,9.922,0.194
0.111,0.853,4.74,10.0,0.207
0.133,0.833,7.033,16.865,0.126
0.022,0.963,5.004,10.788,0.163
0.022,0.962,5.003,11.356,0.155
0.0,1.0,8.523,20.26,0.06
0.133,0.793,4.594,10.228,0.213
0.0,1.0,10.527,24.41,0.043
0.022,0.966,5.257,11.407,0.152
0.0,1.0,7.856,18.765,0.068
0.0,1.0,9.966,23.547,0.046
0.067,0.889,5.073,11.161,0.171
0.022,0.957,9.373,22.83,0.056
0.111,0.773,5.295,12.462,0.168
0.178,0.742,7.634,18.067,0.132
0.0,1.0,10.561,26.407,0.038
0.222,0.615,4.028,8.612,0.279
0.022,0.963,9.095,21.689,0.061
0.044,0.913,5.23,11.21,0.162
0.044,0.929,4.491,9.677,0.193
0.044,0.92,4.149,8.611,0.218
0.044,0.933,5.717,13.147,0.135
0.133,0.8,4.359,9.02,0.237
0.2,0.654,4.096,8.848,0.266
0.156,0.611,4.205,8.896,0.249
0.0,1.0,12.11,28.295,0.033
0.111,0.8,5.022,11.899,0.177
0.0,1.0,6.66,16.171,0.088
0.022,0.967,9.298,22.095,0.059
0.2,0.775,4.879,11.344,0.215
0.022,0.962,6.434,15.17,0.104
0.111,0.821,7.067,17.403,0.116
0.178,0.636,4.053,8.781,0.261
0.222,0.6,4.267,9.388,0.261
0.0,1.0,8.737,20.937,0.057
0.089,0.833,6.902,16.783,0.113
0.022,0.96,8.383,20.075,0.068
0.222,0.583,4.006,8.658,0.279
0.022,0.95,4.707,10.19,0.175
0.0,1.0,8.962,21.809,0.053
0.022,0.96,5.616,13.306,0.126
0.111,0.821,4.228,8.801,0.235
0.022,0.96,5.955,14.007,0.117
0.089,0.81,3.989,8.31,0.241
0.0,1.0,7.905,19.09,0.067
0.178,0.636,4.3,9.202,0.249
0.044,0.929,5.152,10.993,0.166
0.133,0.793,4.855,10.476,0.206
0.067,0.885,5.49,13.092,0.144
0.044,0.923,8.279,20.49,0.074
0.067,0.842,5.216,11.175,0.17
0.111,0.865,4.447,9.434,0.22
0.133,0.7,5.846,13.901,0.156
0.089,0.879,7.212,17.216,0.109
0.022,0.958,8.03,19.577,0.072
0.0,1.0,8.699,20.612,0.058
0.133,0.75,4.135,8.856,0.243
0.0,1.0,8.93,21.472,0.054
0.0,1.0,5.047,11.091,0.15
0.067,0.921,4.85,10.734,0.18
0.0,1.0,8.299,20.589,0.059
0.022,0.969,7.49,18.28,0.08
0.089,0.826,6.79,16.39,0.116
0.022,0.938,9.617,23.621,0.054
0.111,0.783,4.31,9.351,0.224
0.133,0.75,4.716,10.166,0.212
0.133,0.75,4.8,10.656,0.204
0.067,0.88,9.564,23.086,0.07
0.0,1.0,9.752,22.648,0.049
0.0,1.0,7.651,18.194,0.072
0.244,0.676,5.244,12.327,0.214
