Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.146,0.818,6.085,12.587,0.172
0.0,1.0,11.533,28.029,0.034
0.122,0.792,5.822,13.008,0.161
0.024,0.973,8.906,20.014,0.068
0.146,0.778,7.596,17.049,0.128
0.098,0.897,8.766,20.045,0.093
0.049,0.938,6.099,14.365,0.122
0.0,1.0,11.773,30.711,0.029
0.0,1.0,12.691,30.889,0.028
0.0,1.0,7.926,17.079,0.078
0.024,0.97,9.228,21.691,0.061
0.049,0.947,8.555,20.305,0.076
0.049,0.938,5.695,13.921,0.128
0.22,0.71,3.369,7.296,0.32
0.0,1.0,9.429,24.674,0.044
0.0,1.0,11.377,25.681,0.039
0.122,0.8,3.52,7.818,0.272
0.024,0.968,9.108,21.541,0.062
0.049,0.913,6.604,13.448,0.128
0.0,1.0,11.896,28.936,0.032
0.049,0.926,7.883,17.764,0.09
0.146,0.769,7.212,17.183,0.128
0.0,1.0,10.735,26.101,0.038
0.024,0.967,6.904,14.498,0.108
0.146,0.75,5.718,12.24,0.179
0.098,0.8,7.378,17.217,0.111
0.0,1.0,8.948,21.041,0.056
0.0,1.0,9.63,25.088,0.042
0.073,0.889,8.421,19.793,0.087
0.024,0.97,10.61,24.638,0.05
0.0,1.0,9.117,22.236,0.051
0.146,0.833,5.85,13.896,0.16
0.0,1.0,8.088,21.116,0.058
0.0,1.0,6.627,17.054,0.083
0.024,0.941,9.594,22.988,0.056
0.024,0.957,5.574,13.003,0.13
0.024,0.963,9.624,21.797,0.06
0.0,1.0,7.325,15.07,0.094
0.0,1.0,10.124,26.974,0.037
0.073,0.857,9.431,21.264,0.079
0.122,0.815,3.44,7.017,0.292
0.024,0.96,7.104,16.944,0.089
0.0,1.0,12.492,29.13,0.031
0.024,0.975,5.584,13.367,0.127
0.0,1.0,9.303,22.369,0.051
0.0,1.0,10.12,25.46,0.041
0.0,1.0,12.296,28.394,0.032
0.073,0.885,8.381,18.076,0.095
0.0,1.0,7.706,19.507,0.065
0.0,1.0,8.007,17.636,0.074
0.0,1.0,11.166,25.248,0.04
0.049,0.913,5.529,12.606,0.143
0.0,1.0,10.396,27.135,0.037
0.0,1.0,7.813,18.11,0.072
0.0,1.0,12.241,30.658,0.029
0.22,0.667,6.769,16.661,0.158
0.024,0.968,5.997,14.647,0.112
0.0,1.0,9.846,25.342,0.041
0.024,0.96,8.094,21.752,0.063
0.0,1.0,7.213,16.744,0.082
0.098,0.852,8.518,19.306,0.097
0.0,1.0,9.256,22.877,0.049
0.049,0.943,7.127,14.373,0.117
0.049,0.923,4.677,10.666,0.177
0.122,0.8,4.25,10.532,0.209
0.073,0.893,8.122,17.53,0.099
0.0,1.0,9.308,21.884,0.052
0.0,1.0,10.309,24.067,0.044
0.0,1.0,8.104,17.362,0.075
0.073,0.906,5.47,12.188,0.157
0.122,0.815,7.218,17.466,0.118
0.122,0.844,5.972,13.048,0.16
0.0,1.0,9.638,25.901,0.04
0.024,0.957,8.625,19.41,0.072
0.122,0.853,7.895,16.774,0.12
0.0,1.0,13.108,30.618,0.028
0.0,1.0,11.942,31.582,0.028
0.024,0.96,7.875,17.862,0.081
0.0,1.0,12.857,32.588,0.026
0.024,0.966,7.49,19.27,0.075
0.0,1.0,8.343,21.37,0.056
0.0,1.0,11.083,27.858,0.034
0.0,1.0,10.957,26.858,0.036
0.049,0.9,7.636,17.41,0.093
0.024,0.941,8.289,19.989,0.07
0.024,0.962,10.519,24.424,0.051
0.0,1.0,11.995,28.815,0.032
0.049,0.882,8.246,18.311,0.086
0.0,1.0,9.622,21.881,0.052
0.0,1.0,12.956,32.648,0.026
0.073,0.885,4.933,11.599,0.169
0.0,1.0,10.295,24.117,0.044
0.098,0.818,4.774,11.48,0.181
0.073,0.914,8.017,18.335,0.095
0.0,1.0,12.359,31.014,0.028
0.098,0.84,5.404,11.606,0.173
0.0,1.0,8.007,19.43,0.065
0.073,0.909,6.774,13.895,0.131
0.0,1.0,8.74,21.724,0.054
0.0,1.0,12.137,28.316,0.033
