Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.216,0.784,4.711,13.462,0.198
0.054,0.913,4.251,12.505,0.16
0.135,0.833,4.371,13.022,0.18
0.0,1.0,7.361,21.729,0.058
0.108,0.84,7.16,20.541,0.099
0.054,0.929,5.465,15.468,0.119
0.189,0.731,6.876,19.398,0.132
0.0,1.0,6.265,18.057,0.079
0.135,0.8,6.144,17.6,0.127
0.0,1.0,6.391,19.013,0.073
0.0,1.0,9.253,26.411,0.04
0.0,1.0,8.872,26.411,0.041
0.0,1.0,8.721,24.854,0.044
0.027,0.968,5.042,13.958,0.126
0.081,0.885,5.143,14.087,0.142
0.0,1.0,3.761,10.513,0.178
0.0,1.0,6.557,18.601,0.074
0.0,1.0,6.35,18.07,0.078
0.135,0.815,4.204,11.703,0.198
0.135,0.839,4.773,14.232,0.163
0.054,0.923,2.81,7.704,0.275
0.108,0.857,6.211,17.579,0.118
0.243,0.679,7.002,19.803,0.148
0.027,0.955,6.866,20.155,0.075
0.027,0.967,4.926,14.576,0.122
0.054,0.889,6.758,19.167,0.088
0.054,0.923,6.839,19.311,0.087
0.0,1.0,10.864,31.577,0.029
0.0,1.0,9.932,28.679,0.034
0.108,0.875,4.406,12.308,0.178
0.027,0.957,7.25,21.253,0.069
0.189,0.759,4.784,13.662,0.186
0.0,1.0,8.508,24.696,0.045
0.0,1.0,5.445,15.366,0.102
0.135,0.8,7.769,22.121,0.1
0.0,1.0,7.63,22.351,0.055
0.081,0.897,5.015,14.715,0.138
0.0,1.0,10.558,29.92,0.031
0.189,0.696,4.262,12.381,0.207
0.054,0.938,6.556,18.731,0.092
0.324,0.571,5.523,15.847,0.205
0.0,1.0,6.829,19.877,0.067
0.189,0.682,5.747,16.401,0.155
0.027,0.963,4.439,11.984,0.155
0.0,1.0,9.413,27.355,0.038
0.162,0.75,3.256,9.475,0.261
0.135,0.808,5.802,16.172,0.138
0.0,1.0,9.105,27.244,0.038
0.27,0.688,6.919,19.864,0.157
0.027,0.969,8.163,23.393,0.059
0.0,1.0,10.803,31.384,0.029
0.324,0.6,4.799,14.19,0.226
0.081,0.85,4.228,12.372,0.171
0.027,0.938,5.407,15.623,0.109
0.0,1.0,5.286,14.416,0.111
0.0,1.0,10.585,30.038,0.031
0.297,0.656,2.795,7.805,0.354
0.0,1.0,9.798,28.818,0.034
0.0,1.0,9.648,28.543,0.035
0.0,1.0,9.509,26.991,0.038
0.0,1.0,7.501,21.387,0.058
0.0,1.0,10.739,30.972,0.03
0.081,0.906,5.425,15.439,0.128
0.081,0.875,6.093,17.109,0.112
0.0,1.0,5.255,15.18,0.105
0.027,0.95,8.342,24.223,0.056
0.108,0.826,4.535,12.251,0.177
0.054,0.946,5.397,15.134,0.122
0.0,1.0,8.504,24.304,0.046
0.0,1.0,9.742,28.219,0.035
0.081,0.903,4.76,13.222,0.155
0.0,1.0,5.342,15.655,0.1
0.0,1.0,10.152,29.129,0.033
0.0,1.0,5.35,15.677,0.1
0.054,0.929,6.951,19.725,0.085
0.0,1.0,8.876,25.338,0.043
0.0,1.0,9.67,27.485,0.037
0.135,0.792,3.209,8.78,0.266
0.432,0.529,3.519,10.387,0.329
0.027,0.958,9.056,26.229,0.05
0.27,0.6,3.434,9.686,0.289
0.162,0.7,6.583,18.999,0.126
0.135,0.8,4.204,11.415,0.202
0.0,1.0,7.812,22.84,0.052
0.0,1.0,9.907,28.706,0.034
0.027,0.955,8.51,24.254,0.056
0.027,0.957,6.223,18.567,0.085
0.0,1.0,8.678,25.249,0.044
0.0,1.0,9.497,27.457,0.037
0.0,1.0,11.399,32.983,0.026
0.027,0.947,5.766,16.231,0.102
0.0,1.0,9.354,27.679,0.037
0.0,1.0,6.067,17.738,0.081
0.0,1.0,8.922,25.965,0.041
0.0,1.0,8.44,24.267,0.047
0.0,1.0,9.263,27.13,0.038
0.054,0.913,5.226,14.776,0.126
0.0,1.0,9.448,27.323,0.038
0.054,0.923,5.755,17.184,0.105
0.054,0.923,5.452,16.265,0.113
