Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,7.196,20.991,0.061
0.238,0.808,2.134,5.785,0.417
0.0,1.0,8.321,23.902,0.048
0.0,1.0,9.487,25.768,0.041
0.0,1.0,5.417,16.506,0.094
0.0,1.0,8.765,25.263,0.043
0.048,0.957,3.906,9.853,0.201
0.0,1.0,9.68,27.309,0.037
0.0,1.0,7.765,22.574,0.053
0.0,1.0,8.239,24.216,0.047
0.095,0.929,4.193,10.651,0.199
0.048,0.971,6.15,17.357,0.099
0.095,0.926,3.447,9.201,0.238
0.19,0.84,2.134,5.552,0.407
0.0,1.0,8.728,25.446,0.043
0.19,0.84,4.659,12.421,0.201
0.0,1.0,6.62,19.369,0.07
0.143,0.833,2.876,8.208,0.291
0.0,1.0,6.569,19.861,0.068
0.0,1.0,8.395,24.525,0.046
0.048,0.967,6.369,18.083,0.094
0.0,1.0,7.091,20.407,0.064
0.143,0.87,3.145,8.712,0.272
0.0,1.0,9.734,26.55,0.039
0.0,1.0,8.428,24.504,0.046
0.0,1.0,9.428,26.218,0.04
0.048,0.962,4.758,13.757,0.138
0.0,1.0,7.071,21.621,0.059
0.0,1.0,8.695,25.069,0.044
0.0,1.0,7.885,23.401,0.05
0.0,1.0,7.693,22.483,0.054
0.0,1.0,8.576,24.838,0.045
0.048,0.964,8.211,23.006,0.067
0.0,1.0,5.9,17.906,0.082
0.0,1.0,8.414,23.682,0.048
0.0,1.0,6.976,20.749,0.063
0.0,1.0,9.683,26.312,0.039
0.0,1.0,7.071,21.507,0.059
0.0,1.0,10.111,27.525,0.036
0.0,1.0,8.152,24.618,0.046
0.143,0.833,2.577,7.424,0.321
0.0,1.0,6.164,18.081,0.079
0.095,0.9,7.452,21.113,0.091
0.19,0.826,6.224,17.802,0.144
0.143,0.885,4.965,13.665,0.168
0.143,0.875,3.785,9.727,0.237
0.0,1.0,6.957,20.993,0.062
0.0,1.0,5.988,18.31,0.079
0.0,1.0,4.149,10.609,0.169
0.0,1.0,8.439,24.087,0.047
0.0,1.0,10.011,27.383,0.037
0.0,1.0,9.648,26.816,0.038
0.0,1.0,6.434,18.586,0.075
0.048,0.957,4.831,13.999,0.135
0.095,0.923,4.164,11.808,0.184
0.0,1.0,8.243,23.833,0.048
0.0,1.0,9.909,28.795,0.034
0.0,1.0,8.77,25.55,0.043
0.048,0.958,4.261,10.872,0.179
0.143,0.842,5.296,14.351,0.159
0.048,0.962,3.157,8.8,0.238
0.048,0.958,8.354,23.561,0.065
0.0,1.0,8.0,22.825,0.052
0.0,1.0,6.995,20.63,0.063
0.19,0.818,1.754,4.573,0.463
0.095,0.889,2.907,8.159,0.275
0.0,1.0,8.16,23.178,0.05
0.048,0.958,4.216,10.791,0.181
0.095,0.913,6.214,17.611,0.113
0.048,0.944,5.23,15.471,0.118
0.095,0.895,3.773,10.108,0.215
0.0,1.0,9.683,28.117,0.036
0.0,1.0,8.439,24.535,0.046
0.095,0.926,2.445,7.032,0.321
0.0,1.0,9.413,27.509,0.037
0.0,1.0,7.46,22.602,0.054
0.095,0.92,4.901,14.66,0.144
0.0,1.0,3.927,9.955,0.183
0.0,1.0,8.982,25.822,0.042
0.0,1.0,5.333,15.359,0.103
0.0,1.0,10.263,28.535,0.034
0.0,1.0,10.251,27.894,0.035
0.0,1.0,9.339,26.848,0.039
0.0,1.0,6.944,20.995,0.062
0.0,1.0,7.098,21.795,0.058
0.0,1.0,8.373,24.314,0.047
0.0,1.0,9.173,25.496,0.042
0.0,1.0,8.315,24.06,0.047
0.095,0.92,3.267,9.483,0.238
0.0,1.0,4.737,13.512,0.125
0.095,0.909,2.836,8.147,0.278
0.048,0.963,5.582,15.966,0.112
0.0,1.0,8.699,25.142,0.044
0.0,1.0,9.697,27.623,0.037
0.0,1.0,9.913,27.347,0.037
0.048,0.944,5.332,16.34,0.111
0.0,1.0,8.874,25.679,0.042
0.0,1.0,8.036,24.075,0.048
0.0,1.0,9.378,25.95,0.041
0.0,1.0,9.921,27.403,0.037
