Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,14.936,36.149,0.021
0.0,1.0,17.034,41.107,0.016
0.0,1.0,16.363,38.65,0.018
0.0,1.0,14.912,34.362,0.023
0.057,0.957,10.144,20.121,0.076
0.038,0.959,8.542,19.034,0.078
0.094,0.857,8.0,18.449,0.101
0.038,0.952,5.282,11.214,0.159
0.0,1.0,18.3,41.444,0.016
0.0,1.0,17.472,44.047,0.014
0.038,0.96,9.969,23.795,0.058
0.0,1.0,14.99,35.903,0.021
0.0,1.0,15.703,35.227,0.021
0.094,0.853,12.374,27.143,0.066
0.0,1.0,13.074,27.86,0.033
0.038,0.951,13.885,30.554,0.04
0.0,1.0,18.186,41.779,0.016
0.038,0.947,13.176,27.885,0.045
0.0,1.0,23.253,57.006,0.009
0.0,1.0,16.053,37.5,0.019
0.0,1.0,16.881,41.743,0.016
0.0,1.0,11.304,27.411,0.035
0.0,1.0,19.888,47.969,0.012
0.0,1.0,18.359,41.264,0.016
0.038,0.963,12.856,29.416,0.043
0.075,0.871,10.194,23.102,0.072
0.0,1.0,21.728,53.707,0.01
0.226,0.733,5.109,11.807,0.216
0.0,1.0,22.771,55.059,0.009
0.0,1.0,15.081,35.726,0.021
0.0,1.0,17.095,40.839,0.016
0.019,0.973,14.593,32.496,0.031
0.0,1.0,15.455,37.212,0.02
0.0,1.0,16.41,38.779,0.018
0.038,0.959,13.915,31.39,0.039
0.038,0.96,13.392,32.27,0.038
0.0,1.0,13.977,33.227,0.024
0.0,1.0,9.722,19.674,0.06
0.0,1.0,11.79,26.314,0.037
0.057,0.946,7.964,19.008,0.086
0.038,0.941,13.148,28.652,0.044
0.0,1.0,12.516,26.172,0.037
0.0,1.0,12.073,30.663,0.029
0.0,1.0,17.019,41.566,0.016
0.0,1.0,20.627,50.43,0.011
0.0,1.0,21.397,52.005,0.01
0.019,0.977,9.357,22.686,0.056
0.0,1.0,17.801,41.362,0.016
0.0,1.0,14.185,34.657,0.023
0.0,1.0,19.657,47.869,0.012
0.0,1.0,16.15,39.936,0.017
0.019,0.98,9.26,19.27,0.069
0.0,1.0,15.312,36.941,0.02
0.0,1.0,14.02,31.338,0.027
0.0,1.0,21.81,53.106,0.01
0.038,0.95,7.423,17.463,0.089
0.0,1.0,14.707,35.128,0.022
0.0,1.0,11.766,29.284,0.031
0.0,1.0,15.045,34.503,0.022
0.0,1.0,21.378,48.913,0.011
0.0,1.0,14.668,34.046,0.023
0.0,1.0,18.752,43.534,0.014
0.038,0.943,10.842,24.91,0.054
0.0,1.0,13.814,32.968,0.025
0.0,1.0,14.804,36.767,0.02
0.0,1.0,16.841,41.483,0.016
0.0,1.0,15.408,36.106,0.021
0.0,1.0,21.09,49.235,0.011
0.0,1.0,19.248,43.193,0.014
0.0,1.0,21.097,51.131,0.011
0.057,0.919,9.324,22.237,0.07
0.0,1.0,15.057,35.297,0.022
0.0,1.0,22.523,54.918,0.009
0.0,1.0,12.398,30.742,0.028
0.0,1.0,16.004,38.786,0.018
0.0,1.0,12.797,32.21,0.026
0.0,1.0,24.056,57.141,0.009
0.0,1.0,20.549,48.097,0.012
0.0,1.0,13.722,30.59,0.028
0.0,1.0,15.001,36.225,0.021
0.038,0.957,11.639,24.023,0.055
0.0,1.0,14.12,31.385,0.026
0.0,1.0,20.359,49.401,0.011
0.113,0.867,5.86,13.633,0.152
0.019,0.971,8.991,19.411,0.069
0.0,1.0,21.809,50.731,0.011
0.0,1.0,14.764,34.442,0.023
0.057,0.906,12.129,25.405,0.057
0.0,1.0,10.828,27.573,0.035
0.0,1.0,16.158,37.738,0.019
0.0,1.0,14.672,32.753,0.024
0.0,1.0,14.328,35.861,0.021
0.019,0.971,9.386,19.944,0.066
0.0,1.0,19.994,45.05,0.013
0.0,1.0,15.343,35.932,0.021
0.0,1.0,14.696,34.277,0.023
0.0,1.0,21.066,49.744,0.011
0.0,1.0,15.026,34.691,0.022
0.0,1.0,14.586,35.957,0.021
0.0,1.0,15.942,36.77,0.02
