Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,11.613,41.068,0.019
0.0,1.0,8.246,30.113,0.035
0.0,1.0,8.908,31.4,0.032
0.067,0.864,3.451,12.11,0.185
0.0,1.0,9.564,34.358,0.027
0.067,0.9,2.601,8.871,0.265
0.0,1.0,12.166,42.853,0.018
0.0,1.0,7.138,26.022,0.046
0.0,1.0,5.043,17.845,0.089
0.0,1.0,10.624,38.473,0.022
0.0,1.0,8.491,30.246,0.034
0.022,0.971,4.207,14.653,0.129
0.044,0.875,2.538,9.197,0.255
0.089,0.852,2.539,8.727,0.278
0.0,1.0,8.899,32.601,0.03
0.022,0.957,4.899,17.262,0.101
0.0,1.0,8.18,28.913,0.037
0.0,1.0,12.819,45.364,0.016
0.0,1.0,9.037,31.541,0.032
0.044,0.929,4.506,15.626,0.124
0.0,1.0,8.584,29.97,0.035
0.0,1.0,11.684,41.255,0.019
0.022,0.947,4.059,14.516,0.133
0.044,0.909,2.785,9.876,0.232
0.0,1.0,6.043,23.572,0.058
0.0,1.0,11.239,39.533,0.021
0.0,1.0,11.375,40.479,0.02
0.0,1.0,11.54,39.378,0.02
0.0,1.0,8.228,29.36,0.037
0.0,1.0,9.307,35.112,0.027
0.0,1.0,11.857,40.335,0.019
0.0,1.0,12.638,44.885,0.016
0.0,1.0,9.666,35.042,0.026
0.0,1.0,13.873,48.365,0.014
0.0,1.0,10.602,37.73,0.023
0.0,1.0,12.167,43.681,0.017
0.0,1.0,5.39,19.962,0.075
0.0,1.0,10.887,39.694,0.021
0.0,1.0,3.052,10.799,0.192
0.0,1.0,8.506,29.7,0.035
0.0,1.0,11.066,39.222,0.021
0.0,1.0,10.253,38.078,0.023
0.0,1.0,3.875,13.278,0.14
0.0,1.0,8.302,31.08,0.034
0.0,1.0,9.769,35.719,0.026
0.0,1.0,8.951,33.849,0.029
0.089,0.81,2.206,7.695,0.318
0.0,1.0,14.047,50.014,0.013
0.0,1.0,9.373,34.579,0.027
0.0,1.0,10.25,37.147,0.024
0.0,1.0,6.779,24.804,0.051
0.0,1.0,13.012,45.272,0.016
0.0,1.0,12.629,45.085,0.016
0.044,0.909,3.8,14.387,0.146
0.0,1.0,11.623,39.539,0.02
0.0,1.0,7.455,26.974,0.043
0.044,0.905,3.533,12.534,0.171
0.0,1.0,14.378,51.555,0.012
0.089,0.882,3.58,12.164,0.189
0.022,0.966,4.748,17.919,0.099
0.0,1.0,9.564,33.844,0.028
0.0,1.0,8.98,33.612,0.029
0.0,1.0,13.658,48.02,0.014
0.0,1.0,13.099,46.401,0.015
0.0,1.0,13.475,48.983,0.014
0.0,1.0,10.479,38.553,0.022
0.0,1.0,5.555,19.864,0.074
0.0,1.0,13.642,47.823,0.014
0.0,1.0,13.933,49.032,0.014
0.0,1.0,9.31,32.918,0.029
0.0,1.0,8.327,29.737,0.036
0.0,1.0,10.672,38.548,0.022
0.0,1.0,13.202,48.141,0.014
0.044,0.889,3.438,11.771,0.182
0.0,1.0,12.867,46.003,0.015
0.0,1.0,11.925,40.54,0.019
0.0,1.0,12.288,44.906,0.016
0.0,1.0,9.442,32.413,0.03
0.0,1.0,8.041,29.83,0.036
0.0,1.0,10.179,37.213,0.024
0.0,1.0,5.22,19.665,0.078
0.0,1.0,13.242,47.34,0.015
0.0,1.0,12.187,43.553,0.017
0.0,1.0,10.155,37.83,0.023
0.022,0.952,4.107,15.507,0.124
0.0,1.0,12.554,45.426,0.016
0.0,1.0,9.327,32.914,0.029
0.0,1.0,8.756,32.872,0.03
0.0,1.0,10.4,35.4,0.025
0.0,1.0,9.386,33.95,0.028
0.0,1.0,12.197,42.622,0.018
0.0,1.0,12.126,42.338,0.018
0.0,1.0,10.014,36.881,0.024
0.0,1.0,13.789,49.665,0.013
0.0,1.0,5.595,20.613,0.071
0.0,1.0,13.142,46.8,0.015
0.0,1.0,10.481,38.096,0.022
0.044,0.818,3.796,13.951,0.15
0.0,1.0,13.834,50.364,0.013
0.0,1.0,5.825,21.105,0.067
