Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,16.938,39.549,0.017
0.0,1.0,16.82,39.33,0.018
0.0,1.0,18.323,41.847,0.015
0.0,1.0,17.822,40.969,0.016
0.0,1.0,14.824,35.638,0.021
0.0,1.0,18.621,42.964,0.015
0.065,0.885,9.469,19.589,0.083
0.0,1.0,18.938,43.637,0.014
0.0,1.0,17.147,41.286,0.016
0.0,1.0,15.344,37.25,0.02
0.0,1.0,10.618,23.675,0.045
0.0,1.0,12.941,30.683,0.028
0.022,0.973,7.874,17.259,0.084
0.0,1.0,16.322,38.562,0.018
0.0,1.0,15.524,35.935,0.021
0.0,1.0,10.788,27.573,0.035
0.0,1.0,16.233,39.553,0.018
0.109,0.857,4.435,9.64,0.216
0.065,0.909,11.146,24.436,0.064
0.0,1.0,13.352,31.531,0.027
0.0,1.0,14.027,33.173,0.024
0.0,1.0,16.756,40.784,0.017
0.0,1.0,10.119,22.379,0.049
0.0,1.0,17.465,40.583,0.016
0.0,1.0,15.885,37.169,0.02
0.0,1.0,18.357,42.518,0.015
0.152,0.788,5.624,12.763,0.175
0.239,0.725,4.801,12.071,0.22
0.0,1.0,15.391,34.997,0.022
0.0,1.0,15.383,36.564,0.02
0.087,0.846,8.567,18.819,0.095
0.0,1.0,17.806,42.777,0.015
0.0,1.0,15.619,36.877,0.02
0.0,1.0,18.759,43.208,0.015
0.0,1.0,16.218,39.799,0.017
0.0,1.0,15.945,37.696,0.019
0.109,0.821,9.081,18.776,0.102
0.0,1.0,16.626,38.824,0.018
0.0,1.0,15.844,38.485,0.018
0.0,1.0,13.887,33.557,0.024
0.0,1.0,6.683,16.362,0.087
0.043,0.947,9.757,21.421,0.068
0.0,1.0,16.72,41.217,0.016
0.0,1.0,14.764,35.331,0.022
0.0,1.0,7.577,19.249,0.067
0.0,1.0,14.607,35.464,0.022
0.0,1.0,19.628,45.423,0.013
0.0,1.0,6.073,13.486,0.114
0.152,0.774,9.221,18.752,0.116
0.0,1.0,7.627,18.22,0.072
0.0,1.0,14.197,33.015,0.024
0.0,1.0,15.865,36.614,0.02
0.0,1.0,14.609,33.224,0.024
0.0,1.0,16.398,40.56,0.017
0.065,0.903,3.967,9.29,0.215
0.0,1.0,16.614,41.007,0.016
0.0,1.0,16.416,39.176,0.018
0.13,0.786,4.071,9.024,0.24
0.087,0.867,9.31,19.254,0.092
0.0,1.0,16.894,40.621,0.017
0.0,1.0,16.874,40.143,0.017
0.0,1.0,16.15,37.315,0.019
0.022,0.97,7.699,19.347,0.073
0.043,0.946,7.867,17.465,0.09
0.022,0.97,8.878,20.057,0.067
0.0,1.0,13.624,31.776,0.026
0.0,1.0,16.76,40.618,0.017
0.0,1.0,16.384,38.456,0.018
0.043,0.913,5.069,12.817,0.143
0.0,1.0,15.389,38.903,0.018
0.0,1.0,16.687,41.685,0.016
0.0,1.0,18.331,42.423,0.015
0.0,1.0,16.778,39.831,0.017
0.065,0.9,9.04,18.95,0.087
0.0,1.0,16.955,42.363,0.015
0.0,1.0,10.191,23.138,0.047
0.087,0.882,9.67,20.938,0.084
0.0,1.0,13.657,33.311,0.024
0.0,1.0,12.469,27.83,0.033
0.0,1.0,19.554,45.97,0.013
0.0,1.0,15.392,37.055,0.02
0.0,1.0,17.071,40.201,0.017
0.0,1.0,8.248,18.589,0.068
0.0,1.0,16.16,37.943,0.019
0.0,1.0,16.029,40.843,0.017
0.0,1.0,15.594,37.616,0.019
0.0,1.0,11.625,28.364,0.033
0.0,1.0,16.557,38.89,0.018
0.0,1.0,16.404,41.478,0.016
0.0,1.0,10.221,23.859,0.045
0.0,1.0,17.954,42.023,0.015
0.0,1.0,13.528,31.493,0.027
0.0,1.0,17.887,41.607,0.016
0.0,1.0,14.849,35.569,0.021
0.0,1.0,15.133,35.441,0.021
0.0,1.0,16.854,39.308,0.018
0.0,1.0,19.542,47.504,0.012
0.0,1.0,16.911,40.952,0.016
0.022,0.963,7.051,17.328,0.086
0.0,1.0,15.017,34.96,0.022
