Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.027,0.974,5.487,15.996,0.106
0.0,1.0,8.175,24.341,0.047
0.0,1.0,8.995,26.968,0.039
0.0,1.0,11.304,33.143,0.026
0.081,0.903,4.304,12.617,0.167
0.027,0.955,7.446,24.249,0.058
0.0,1.0,11.831,34.436,0.024
0.0,1.0,6.169,20.245,0.069
0.0,1.0,10.127,33.127,0.028
0.0,1.0,9.893,30.361,0.032
0.0,1.0,10.552,33.897,0.026
0.0,1.0,7.174,22.657,0.055
0.135,0.828,4.306,12.755,0.184
0.0,1.0,9.376,29.168,0.034
0.0,1.0,10.069,30.877,0.031
0.027,0.964,6.268,18.747,0.084
0.108,0.867,3.993,12.052,0.188
0.0,1.0,8.344,25.343,0.044
0.0,1.0,7.944,26.326,0.043
0.0,1.0,12.238,36.183,0.022
0.0,1.0,7.473,23.355,0.052
0.0,1.0,5.938,18.084,0.08
0.0,1.0,8.611,27.281,0.039
0.0,1.0,10.13,29.987,0.032
0.0,1.0,11.272,33.076,0.026
0.0,1.0,10.889,32.124,0.028
0.0,1.0,10.028,30.041,0.032
0.027,0.962,5.916,17.692,0.092
0.027,0.964,9.054,27.281,0.047
0.0,1.0,8.706,26.674,0.04
0.081,0.875,3.779,11.668,0.188
0.027,0.968,7.346,22.251,0.065
0.0,1.0,9.866,29.821,0.033
0.081,0.88,4.86,13.972,0.146
0.0,1.0,9.955,29.875,0.032
0.081,0.923,5.672,16.724,0.117
0.0,1.0,8.707,26.211,0.041
0.0,1.0,6.286,18.69,0.075
0.0,1.0,5.564,16.753,0.091
0.0,1.0,11.44,33.776,0.025
0.0,1.0,6.735,21.757,0.06
0.0,1.0,5.254,17.581,0.088
0.054,0.938,4.678,13.647,0.142
0.0,1.0,9.467,28.687,0.035
0.0,1.0,8.063,25.166,0.045
0.0,1.0,7.93,25.795,0.044
0.0,1.0,12.043,37.269,0.022
0.0,1.0,11.617,35.465,0.024
0.0,1.0,9.896,30.009,0.032
0.0,1.0,7.293,23.093,0.053
0.0,1.0,8.471,25.775,0.043
0.0,1.0,12.286,36.316,0.022
0.0,1.0,9.28,27.922,0.037
0.0,1.0,9.174,28.024,0.037
0.0,1.0,6.44,20.458,0.066
0.0,1.0,6.981,22.457,0.056
0.027,0.957,8.09,24.588,0.056
0.0,1.0,5.465,16.852,0.091
0.0,1.0,9.654,31.223,0.031
0.0,1.0,11.633,36.539,0.023
0.0,1.0,8.145,25.3,0.045
0.0,1.0,12.188,35.704,0.023
0.0,1.0,5.244,17.9,0.087
0.0,1.0,6.217,19.433,0.072
0.0,1.0,10.772,33.553,0.026
0.0,1.0,11.559,34.431,0.025
0.0,1.0,11.618,33.991,0.025
0.0,1.0,10.044,30.531,0.031
0.0,1.0,5.793,19.392,0.075
0.081,0.9,4.787,13.534,0.151
0.027,0.947,6.907,22.612,0.065
0.0,1.0,7.108,23.421,0.053
0.054,0.935,5.391,15.751,0.117
0.0,1.0,7.849,23.949,0.049
0.108,0.846,4.293,12.641,0.176
0.0,1.0,8.102,24.969,0.046
0.0,1.0,7.24,21.944,0.057
0.0,1.0,6.947,21.93,0.058
0.0,1.0,10.894,34.934,0.025
0.0,1.0,9.605,30.862,0.031
0.0,1.0,11.734,36.914,0.022
0.0,1.0,6.413,20.122,0.068
0.135,0.792,5.046,15.375,0.15
0.0,1.0,9.696,30.682,0.032
0.0,1.0,8.183,24.647,0.046
0.0,1.0,6.684,21.73,0.06
0.081,0.875,4.43,13.227,0.159
0.0,1.0,6.121,20.114,0.069
0.0,1.0,10.705,31.643,0.029
0.0,1.0,7.778,23.32,0.051
0.0,1.0,7.53,22.847,0.053
0.0,1.0,10.625,34.098,0.026
0.0,1.0,11.113,33.2,0.026
0.0,1.0,11.235,32.979,0.027
0.0,1.0,10.708,34.271,0.026
0.054,0.923,4.585,13.032,0.15
0.054,0.913,4.493,13.471,0.146
0.0,1.0,10.999,32.837,0.027
0.0,1.0,7.149,22.436,0.056
0.0,1.0,12.039,37.539,0.021
