Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.039,0.952,6.879,21.091,0.075
0.039,0.929,4.284,12.432,0.156
0.078,0.892,6.353,16.801,0.112
0.02,0.969,6.13,19.159,0.08
0.0,1.0,8.612,24.868,0.045
0.098,0.861,6.65,17.691,0.111
0.235,0.657,1.41,3.715,0.535
0.0,1.0,8.832,25.182,0.043
0.0,1.0,9.737,27.825,0.036
0.0,1.0,5.33,15.81,0.099
0.137,0.767,3.238,9.014,0.262
0.02,0.968,6.528,20.212,0.073
0.02,0.96,5.49,16.102,0.102
0.196,0.722,2.363,7.002,0.36
0.137,0.788,6.606,17.568,0.125
0.02,0.973,6.914,21.319,0.067
0.0,1.0,11.336,33.145,0.026
0.059,0.903,6.267,17.042,0.104
0.0,1.0,7.228,21.983,0.057
0.118,0.85,4.188,12.89,0.178
0.039,0.913,6.466,18.6,0.088
0.0,1.0,6.725,20.771,0.064
0.098,0.848,6.317,16.619,0.12
0.137,0.806,3.457,10.184,0.235
0.02,0.968,7.051,19.096,0.076
0.196,0.722,1.86,5.116,0.441
0.059,0.9,4.209,12.321,0.165
0.0,1.0,5.184,15.77,0.101
0.078,0.852,3.521,10.178,0.214
0.0,1.0,7.795,22.983,0.052
0.0,1.0,9.137,25.598,0.042
0.0,1.0,10.314,29.856,0.032
0.02,0.964,6.829,19.629,0.075
0.0,1.0,9.04,25.952,0.041
0.0,1.0,7.344,22.4,0.055
0.0,1.0,10.08,29.272,0.033
0.0,1.0,10.403,30.944,0.03
0.098,0.844,4.643,13.724,0.157
0.0,1.0,8.279,23.402,0.049
0.059,0.87,6.412,17.056,0.103
0.216,0.686,2.146,6.223,0.398
0.0,1.0,7.03,22.199,0.057
0.0,1.0,6.379,18.874,0.074
0.0,1.0,8.619,25.985,0.042
0.0,1.0,9.536,27.669,0.037
0.0,1.0,8.252,23.583,0.049
0.0,1.0,8.643,25.449,0.043
0.039,0.935,7.464,22.585,0.067
0.098,0.828,5.946,15.757,0.128
0.039,0.933,8.589,23.926,0.06
0.098,0.848,6.82,18.307,0.107
0.039,0.926,9.694,27.382,0.05
0.0,1.0,10.435,30.04,0.031
0.02,0.964,6.54,17.443,0.087
0.0,1.0,7.732,23.68,0.05
0.0,1.0,8.329,24.76,0.046
0.039,0.92,9.998,28.432,0.048
0.0,1.0,7.442,21.611,0.058
0.0,1.0,5.402,17.349,0.088
0.0,1.0,7.542,22.288,0.055
0.02,0.968,5.954,18.7,0.084
0.0,1.0,9.998,28.487,0.035
0.0,1.0,9.598,27.312,0.037
0.0,1.0,9.71,27.758,0.036
0.0,1.0,8.86,26.045,0.041
0.0,1.0,10.658,31.581,0.029
0.0,1.0,8.447,24.285,0.047
0.059,0.912,6.127,16.167,0.111
0.078,0.84,6.329,17.1,0.11
0.0,1.0,9.278,28.139,0.036
0.0,1.0,7.854,23.592,0.05
0.0,1.0,8.146,23.358,0.05
0.137,0.72,7.736,21.528,0.103
0.0,1.0,9.148,26.386,0.04
0.0,1.0,8.656,24.49,0.046
0.0,1.0,9.139,26.049,0.041
0.039,0.929,7.784,23.386,0.064
0.0,1.0,8.337,25.332,0.044
0.0,1.0,8.804,25.766,0.042
0.118,0.769,9.077,25.621,0.081
0.0,1.0,5.61,17.589,0.085
0.0,1.0,10.063,28.59,0.034
0.0,1.0,10.36,29.886,0.032
0.0,1.0,5.434,15.341,0.102
0.0,1.0,6.476,18.541,0.075
0.0,1.0,6.918,19.194,0.07
0.0,1.0,8.883,26.11,0.041
0.02,0.963,9.318,27.756,0.044
0.02,0.966,5.699,17.934,0.089
0.078,0.818,5.1,13.754,0.145
0.0,1.0,7.825,23.813,0.049
0.0,1.0,9.695,27.57,0.037
0.0,1.0,7.838,22.605,0.053
0.0,1.0,9.594,27.067,0.038
0.196,0.524,2.591,7.145,0.344
0.098,0.844,3.981,11.81,0.188
0.0,1.0,9.06,26.585,0.04
0.0,1.0,9.617,28.856,0.035
0.0,1.0,7.839,23.293,0.051
0.02,0.977,7.998,22.115,0.061
