Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,12.782,36.207,0.022
0.0,1.0,10.59,29.551,0.032
0.138,0.758,4.974,12.899,0.175
0.0,1.0,8.95,24.067,0.046
0.034,0.931,8.233,22.105,0.065
0.017,0.974,8.064,22.433,0.059
0.034,0.947,9.834,26.898,0.049
0.0,1.0,14.221,40.478,0.018
0.034,0.941,7.695,21.687,0.068
0.0,1.0,13.973,38.243,0.019
0.034,0.944,8.472,23.129,0.061
0.0,1.0,7.819,22.688,0.053
0.069,0.846,5.314,13.252,0.145
0.103,0.739,6.744,17.587,0.113
0.0,1.0,8.383,22.972,0.05
0.0,1.0,9.07,26.275,0.04
0.052,0.906,7.382,21.504,0.076
0.155,0.679,6.847,17.224,0.132
0.034,0.931,10.749,29.512,0.043
0.0,1.0,9.219,25.013,0.043
0.052,0.889,7.28,19.114,0.086
0.086,0.821,9.35,25.38,0.071
0.0,1.0,7.538,21.115,0.059
0.0,1.0,15.099,41.677,0.017
0.017,0.967,9.467,25.734,0.047
0.0,1.0,9.321,25.288,0.042
0.0,1.0,9.826,26.826,0.038
0.0,1.0,16.697,47.209,0.013
0.0,1.0,9.571,26.914,0.038
0.0,1.0,13.754,38.352,0.02
0.0,1.0,15.887,44.088,0.015
0.0,1.0,13.342,36.828,0.021
0.121,0.794,6.369,16.257,0.129
0.0,1.0,7.757,22.633,0.053
0.034,0.917,5.474,15.064,0.115
0.0,1.0,10.921,31.786,0.028
0.0,1.0,9.781,27.503,0.037
0.103,0.769,6.413,15.655,0.128
0.052,0.893,6.884,17.765,0.094
0.0,1.0,12.553,35.714,0.023
0.0,1.0,15.12,42.939,0.016
0.0,1.0,14.023,38.664,0.019
0.0,1.0,15.24,42.121,0.016
0.052,0.903,4.809,12.663,0.15
0.017,0.971,8.059,21.701,0.061
0.052,0.842,6.937,17.421,0.096
0.0,1.0,15.763,44.556,0.015
0.034,0.923,7.203,18.747,0.082
0.0,1.0,8.476,22.74,0.051
0.0,1.0,13.296,38.448,0.02
0.086,0.792,5.46,14.444,0.138
0.086,0.783,6.578,16.264,0.117
0.0,1.0,11.923,35.349,0.023
0.017,0.971,11.827,31.667,0.033
0.103,0.76,7.08,17.669,0.111
0.0,1.0,14.567,39.992,0.018
0.121,0.696,4.716,12.183,0.18
0.0,1.0,14.207,39.803,0.018
0.0,1.0,5.676,16.546,0.091
0.0,1.0,16.429,46.69,0.013
0.0,1.0,12.644,36.127,0.022
0.069,0.833,4.456,11.681,0.172
0.017,0.955,8.328,24.434,0.052
0.0,1.0,8.891,24.433,0.045
0.0,1.0,14.442,41.034,0.017
0.0,1.0,9.475,26.692,0.039
0.0,1.0,8.356,23.382,0.049
0.0,1.0,16.799,47.79,0.013
0.034,0.92,6.38,15.914,0.103
0.017,0.966,7.237,20.378,0.069
0.0,1.0,8.267,23.721,0.049
0.0,1.0,14.396,41.275,0.017
0.0,1.0,10.932,31.782,0.028
0.017,0.973,7.62,21.418,0.064
0.086,0.783,4.119,11.318,0.188
0.0,1.0,10.58,29.665,0.032
0.0,1.0,12.185,35.591,0.023
0.0,1.0,9.695,27.722,0.036
0.0,1.0,14.244,39.907,0.018
0.0,1.0,7.714,20.329,0.062
0.0,1.0,13.833,39.084,0.019
0.172,0.643,5.556,13.2,0.178
0.0,1.0,13.232,37.114,0.021
0.0,1.0,9.875,26.962,0.038
0.0,1.0,15.76,43.302,0.015
0.0,1.0,8.105,21.466,0.056
0.103,0.786,4.617,12.513,0.172
0.0,1.0,12.347,36.033,0.022
0.086,0.75,4.75,12.853,0.16
0.034,0.917,6.781,18.371,0.086
0.017,0.963,8.037,23.58,0.055
0.155,0.64,3.782,10.115,0.235
0.017,0.962,7.502,21.914,0.062
0.0,1.0,11.599,32.81,0.026
0.0,1.0,14.24,39.619,0.018
0.0,1.0,15.947,46.099,0.014
0.0,1.0,13.8,39.092,0.019
0.0,1.0,11.604,33.918,0.025
0.0,1.0,8.257,23.839,0.048
0.017,0.963,9.291,25.142,0.048
