Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,11.292,29.17,0.032
0.0,1.0,11.356,30.629,0.03
0.0,1.0,12.294,32.268,0.027
0.256,0.686,1.756,4.623,0.483
0.0,1.0,18.494,50.243,0.011
0.093,0.871,5.63,13.423,0.149
0.0,1.0,19.869,54.009,0.01
0.0,1.0,13.399,35.129,0.023
0.0,1.0,19.053,52.378,0.011
0.0,1.0,18.777,51.824,0.011
0.0,1.0,20.442,58.139,0.009
0.0,1.0,21.395,58.341,0.009
0.0,1.0,11.813,30.869,0.029
0.116,0.833,5.443,12.612,0.166
0.0,1.0,12.396,31.676,0.027
0.0,1.0,20.809,60.024,0.008
0.023,0.969,5.311,13.567,0.126
0.0,1.0,17.408,48.292,0.012
0.0,1.0,13.211,33.721,0.024
0.0,1.0,12.563,32.268,0.026
0.0,1.0,17.323,44.175,0.014
0.0,1.0,17.493,48.837,0.012
0.0,1.0,18.828,52.089,0.011
0.0,1.0,13.794,35.644,0.022
0.0,1.0,18.085,50.682,0.011
0.07,0.9,3.143,8.169,0.258
0.023,0.969,5.019,12.609,0.139
0.0,1.0,19.509,56.3,0.009
0.116,0.848,4.984,11.901,0.179
0.0,1.0,20.917,61.182,0.008
0.047,0.941,5.449,13.755,0.131
0.0,1.0,25.72,73.654,0.006
0.116,0.828,5.464,12.544,0.167
0.093,0.846,2.286,5.316,0.371
0.047,0.926,5.391,12.883,0.141
0.0,1.0,11.057,29.562,0.031
0.0,1.0,13.116,34.579,0.023
0.116,0.848,1.748,4.35,0.444
0.0,1.0,12.809,32.893,0.025
0.0,1.0,12.069,31.931,0.027
0.0,1.0,18.246,50.153,0.012
0.0,1.0,12.922,33.98,0.024
0.0,1.0,18.402,51.095,0.011
0.0,1.0,23.269,65.624,0.007
0.0,1.0,11.794,30.994,0.029
0.0,1.0,19.806,53.834,0.01
0.0,1.0,22.302,64.277,0.007
0.0,1.0,21.989,63.584,0.007
0.0,1.0,23.134,67.757,0.007
0.0,1.0,24.007,69.573,0.006
0.0,1.0,20.723,59.012,0.009
0.0,1.0,19.873,57.765,0.009
0.0,1.0,9.784,25.924,0.04
0.0,1.0,11.951,30.784,0.029
0.0,1.0,19.323,54.148,0.01
0.0,1.0,23.233,68.002,0.007
0.0,1.0,11.411,31.367,0.028
0.0,1.0,20.887,57.269,0.009
0.0,1.0,19.271,55.876,0.01
0.023,0.963,5.631,13.89,0.121
0.0,1.0,23.872,69.407,0.006
0.209,0.591,4.975,12.079,0.208
0.0,1.0,18.235,47.846,0.012
0.0,1.0,11.423,31.535,0.028
0.0,1.0,20.187,56.217,0.009
0.0,1.0,17.839,49.448,0.012
0.0,1.0,23.062,66.608,0.007
0.0,1.0,17.427,48.67,0.012
0.0,1.0,10.969,29.52,0.032
0.0,1.0,23.491,68.657,0.006
0.0,1.0,14.37,40.537,0.018
0.0,1.0,20.181,58.195,0.009
0.0,1.0,20.685,59.401,0.008
0.0,1.0,18.637,52.141,0.011
0.0,1.0,22.238,64.279,0.007
0.0,1.0,7.95,21.795,0.055
0.0,1.0,4.503,12.276,0.141
0.093,0.907,6.181,15.327,0.128
0.093,0.81,4.824,12.456,0.166
0.0,1.0,12.148,31.678,0.027
0.0,1.0,23.793,68.925,0.006
0.0,1.0,20.086,56.886,0.009
0.0,1.0,16.295,41.735,0.016
0.0,1.0,21.525,61.506,0.008
0.0,1.0,10.83,30.51,0.03
0.0,1.0,18.808,53.364,0.01
0.0,1.0,24.118,70.162,0.006
0.0,1.0,18.682,51.953,0.011
0.0,1.0,19.214,54.474,0.01
0.0,1.0,12.457,32.114,0.027
0.0,1.0,23.163,66.836,0.007
0.0,1.0,20.68,60.202,0.008
0.186,0.652,6.587,16.137,0.151
0.0,1.0,12.745,32.975,0.025
0.0,1.0,12.573,32.096,0.027
0.0,1.0,13.336,35.193,0.023
0.0,1.0,21.889,62.729,0.008
0.0,1.0,19.02,52.591,0.011
0.023,0.964,4.168,10.614,0.176
0.047,0.929,5.538,15.126,0.118
