Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,13.251,34.783,0.023
0.0,1.0,16.617,44.726,0.014
0.0,1.0,15.82,41.675,0.016
0.0,1.0,14.194,37.442,0.02
0.0,1.0,12.372,30.391,0.029
0.0,1.0,13.888,36.672,0.021
0.0,1.0,13.5,34.7,0.023
0.0,1.0,11.601,28.049,0.034
0.0,1.0,17.413,45.99,0.013
0.0,1.0,17.23,45.082,0.014
0.0,1.0,18.157,49.04,0.012
0.0,1.0,14.876,40.44,0.017
0.0,1.0,14.946,37.517,0.02
0.0,1.0,13.429,31.583,0.027
0.0,1.0,18.253,49.783,0.012
0.0,1.0,18.079,50.244,0.012
0.0,1.0,14.65,39.731,0.018
0.0,1.0,17.506,45.754,0.014
0.0,1.0,14.162,35.172,0.022
0.0,1.0,14.425,37.648,0.02
0.0,1.0,13.522,35.41,0.022
0.046,0.923,7.82,16.376,0.098
0.0,1.0,17.538,47.264,0.013
0.0,1.0,13.946,36.923,0.021
0.0,1.0,16.308,45.188,0.014
0.0,1.0,18.415,49.719,0.012
0.0,1.0,15.572,39.018,0.018
0.0,1.0,14.915,40.531,0.017
0.0,1.0,15.854,38.895,0.018
0.0,1.0,14.436,39.515,0.018
0.0,1.0,13.344,34.912,0.023
0.0,1.0,13.069,32.203,0.026
0.0,1.0,6.531,14.702,0.1
0.0,1.0,14.135,37.782,0.02
0.0,1.0,17.565,47.138,0.013
0.0,1.0,15.126,40.689,0.017
0.0,1.0,15.732,42.512,0.016
0.0,1.0,16.429,43.351,0.015
0.0,1.0,16.775,44.335,0.014
0.062,0.879,7.571,19.009,0.089
0.0,1.0,17.699,47.585,0.013
0.092,0.842,11.171,27.239,0.066
0.046,0.938,7.903,16.366,0.098
0.0,1.0,14.897,40.136,0.018
0.0,1.0,10.322,25.725,0.04
0.0,1.0,11.518,29.101,0.032
0.0,1.0,18.662,50.563,0.011
0.108,0.821,7.546,16.297,0.12
0.0,1.0,16.978,45.408,0.014
0.062,0.862,5.518,11.796,0.157
0.108,0.825,10.958,26.321,0.074
0.0,1.0,17.076,46.132,0.013
0.031,0.956,7.515,15.145,0.103
0.0,1.0,14.842,37.878,0.019
0.0,1.0,14.924,40.407,0.017
0.0,1.0,17.012,44.225,0.014
0.0,1.0,13.234,33.803,0.024
0.0,1.0,16.728,45.201,0.014
0.0,1.0,16.788,44.521,0.014
0.0,1.0,17.578,45.982,0.013
0.0,1.0,16.892,43.607,0.015
0.046,0.936,8.084,20.407,0.076
0.0,1.0,11.951,30.555,0.029
0.0,1.0,17.987,49.52,0.012
0.0,1.0,10.739,27.498,0.035
0.0,1.0,12.686,31.264,0.028
0.0,1.0,16.791,44.633,0.014
0.0,1.0,16.637,45.657,0.014
0.0,1.0,10.889,26.734,0.037
0.015,0.974,11.369,27.896,0.039
0.0,1.0,15.674,41.419,0.016
0.0,1.0,11.969,28.955,0.032
0.0,1.0,17.571,48.26,0.012
0.0,1.0,14.83,35.1,0.022
0.0,1.0,16.572,44.096,0.015
0.015,0.971,11.151,27.944,0.039
0.138,0.795,4.777,9.67,0.221
0.0,1.0,16.519,45.285,0.014
0.0,1.0,13.082,34.355,0.024
0.0,1.0,12.442,29.567,0.03
0.0,1.0,14.049,34.109,0.023
0.0,1.0,16.231,41.833,0.016
0.0,1.0,15.782,41.521,0.016
0.0,1.0,16.811,45.486,0.014
0.0,1.0,11.36,29.942,0.031
0.0,1.0,13.866,37.167,0.02
0.0,1.0,17.867,48.444,0.012
0.0,1.0,16.913,46.259,0.013
0.0,1.0,15.643,39.72,0.018
0.031,0.941,5.949,12.757,0.133
0.0,1.0,17.676,47.29,0.013
0.0,1.0,18.709,50.879,0.011
0.0,1.0,16.076,43.996,0.015
0.0,1.0,14.501,35.396,0.022
0.0,1.0,16.828,41.508,0.016
0.0,1.0,17.015,45.789,0.014
0.0,1.0,15.837,37.644,0.019
0.0,1.0,10.606,25.551,0.04
0.0,1.0,16.712,42.131,0.016
0.0,1.0,15.262,40.733,0.017
