Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.135,0.857,8.534,21.845,0.099
0.0,1.0,8.507,22.34,0.052
0.0,1.0,8.231,21.077,0.057
0.0,1.0,7.822,20.08,0.062
0.0,1.0,8.18,20.613,0.059
0.0,1.0,9.547,24.637,0.043
0.027,0.957,8.832,22.531,0.06
0.0,1.0,9.61,25.556,0.041
0.0,1.0,7.314,18.507,0.072
0.0,1.0,8.759,22.422,0.051
0.027,0.969,7.336,18.599,0.08
0.432,0.568,3.833,6.37,0.402
0.459,0.469,3.292,4.607,0.468
0.027,0.962,7.795,19.982,0.072
0.027,0.958,8.303,20.931,0.067
0.0,1.0,8.78,23.6,0.048
0.162,0.786,6.661,15.078,0.151
0.054,0.889,7.494,19.031,0.086
0.108,0.862,8.406,21.564,0.091
0.0,1.0,8.388,21.411,0.056
0.0,1.0,10.34,26.916,0.037
0.0,1.0,9.322,24.17,0.045
0.0,1.0,9.786,25.571,0.041
0.0,1.0,9.32,23.783,0.046
0.027,0.962,7.079,18.023,0.084
0.0,1.0,8.547,21.731,0.054
0.0,1.0,8.392,21.283,0.056
0.027,0.974,9.214,23.07,0.057
0.0,1.0,7.157,19.124,0.069
0.108,0.875,7.079,17.047,0.117
0.108,0.871,8.943,22.668,0.086
0.054,0.935,7.885,19.718,0.082
0.0,1.0,10.207,27.088,0.037
0.189,0.731,5.052,12.037,0.201
0.108,0.846,9.396,23.597,0.083
0.081,0.87,9.327,23.438,0.074
0.0,1.0,8.546,21.718,0.054
0.0,1.0,6.698,16.025,0.089
0.0,1.0,8.382,22.66,0.051
0.243,0.7,5.122,12.162,0.217
0.027,0.957,7.896,21.36,0.066
0.0,1.0,10.199,26.171,0.039
0.027,0.957,8.644,21.719,0.063
0.0,1.0,9.454,24.915,0.043
0.0,1.0,9.764,25.026,0.042
0.378,0.622,3.508,5.25,0.419
0.0,1.0,7.76,19.585,0.065
0.351,0.519,3.235,4.087,0.447
0.0,1.0,8.598,22.281,0.052
0.378,0.6,4.111,9.215,0.319
0.027,0.962,8.007,20.69,0.068
0.0,1.0,8.13,21.78,0.055
0.027,0.962,9.79,25.483,0.05
0.054,0.917,7.099,17.919,0.093
0.081,0.925,7.152,17.953,0.102
0.135,0.773,6.702,16.005,0.134
0.135,0.833,6.798,17.096,0.127
0.0,1.0,8.621,22.492,0.051
0.108,0.867,8.893,22.98,0.085
0.108,0.84,5.795,14.167,0.145
0.081,0.889,6.674,16.633,0.112
0.027,0.95,5.469,11.957,0.144
0.027,0.967,9.159,23.13,0.057
0.054,0.926,8.352,20.774,0.076
0.0,1.0,8.142,20.61,0.059
0.0,1.0,10.84,28.399,0.034
0.0,1.0,7.489,19.011,0.068
0.0,1.0,7.906,20.589,0.06
0.0,1.0,9.452,25.145,0.042
0.0,1.0,9.516,25.194,0.042
0.027,0.964,7.554,19.106,0.077
0.054,0.9,7.248,18.567,0.089
0.0,1.0,7.875,19.973,0.063
0.216,0.667,4.89,9.807,0.244
0.0,1.0,7.924,19.92,0.063
0.0,1.0,10.401,27.686,0.036
0.027,0.972,7.158,18.378,0.082
0.0,1.0,9.816,26.792,0.038
0.027,0.963,6.738,15.581,0.101
0.0,1.0,8.307,21.386,0.056
0.0,1.0,9.94,26.319,0.039
0.0,1.0,8.64,21.763,0.054
0.027,0.958,9.472,24.428,0.053
0.189,0.611,5.409,13.392,0.183
0.189,0.741,7.302,20.116,0.127
0.162,0.739,4.342,8.459,0.257
0.0,1.0,7.374,18.878,0.069
0.0,1.0,8.375,22.934,0.051
0.027,0.955,9.284,24.892,0.052
0.108,0.862,7.385,18.156,0.109
0.108,0.84,4.82,9.592,0.212
0.0,1.0,8.176,20.833,0.058
0.027,0.95,6.779,17.411,0.089
0.0,1.0,8.141,21.483,0.056
0.0,1.0,8.937,23.338,0.048
0.0,1.0,8.478,22.993,0.05
0.0,1.0,9.104,22.91,0.049
0.081,0.875,8.44,21.401,0.083
0.027,0.964,7.776,19.655,0.073
0.135,0.878,7.266,18.603,0.116
