Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,7.401,23.789,0.051
0.171,0.794,3.96,12.17,0.208
0.171,0.741,2.55,8.011,0.319
0.0,1.0,6.852,22.028,0.058
0.415,0.469,1.271,3.892,0.608
0.098,0.871,3.603,11.77,0.196
0.0,1.0,6.54,21.212,0.063
0.171,0.767,2.239,7.145,0.356
0.171,0.667,3.764,11.438,0.221
0.341,0.44,1.516,4.769,0.532
0.146,0.76,4.47,14.01,0.172
0.146,0.812,3.904,12.063,0.202
0.0,1.0,5.899,19.259,0.075
0.024,0.96,5.928,19.668,0.081
0.049,0.931,6.456,21.041,0.08
0.024,0.96,5.884,19.18,0.083
0.049,0.923,6.929,22.231,0.074
0.049,0.92,6.621,21.541,0.077
0.171,0.767,3.071,9.919,0.262
0.0,1.0,6.485,21.077,0.064
0.0,1.0,7.97,26.08,0.043
0.122,0.839,4.289,14.333,0.164
0.024,0.96,6.307,20.379,0.075
0.0,1.0,7.507,24.428,0.049
0.0,1.0,7.618,24.743,0.048
0.024,0.964,6.277,20.583,0.075
0.0,1.0,5.854,19.556,0.074
0.0,1.0,6.726,21.585,0.061
0.0,1.0,6.326,21.064,0.064
0.024,0.962,5.979,19.649,0.08
0.122,0.833,3.907,11.933,0.196
0.0,1.0,7.239,23.397,0.053
0.0,1.0,7.408,24.387,0.049
0.171,0.696,2.801,9.076,0.287
0.049,0.923,5.994,19.303,0.09
0.122,0.821,4.173,12.94,0.179
0.293,0.613,1.746,5.599,0.472
0.0,1.0,6.314,20.744,0.066
0.098,0.852,5.74,18.835,0.11
0.0,1.0,7.881,25.569,0.045
0.098,0.833,3.837,11.788,0.191
0.146,0.76,4.222,13.945,0.176
0.0,1.0,7.805,24.818,0.047
0.024,0.963,6.193,20.183,0.077
0.0,1.0,7.78,25.524,0.045
0.122,0.808,3.47,10.876,0.22
0.122,0.706,4.736,15.045,0.152
0.0,1.0,7.971,25.918,0.044
0.0,1.0,7.1,23.085,0.054
0.0,1.0,8.11,26.376,0.042
0.0,1.0,6.643,21.671,0.061
0.0,1.0,6.287,20.949,0.065
0.0,1.0,6.543,21.18,0.063
0.0,1.0,5.911,19.333,0.074
0.073,0.85,3.659,11.616,0.189
0.171,0.767,4.017,12.441,0.204
0.317,0.594,3.565,11.31,0.276
0.024,0.955,4.181,13.768,0.138
0.268,0.476,1.772,5.556,0.462
0.0,1.0,6.514,20.966,0.064
0.0,1.0,7.073,22.875,0.055
0.244,0.615,2.735,9.091,0.314
0.0,1.0,7.578,24.411,0.049
0.0,1.0,8.794,28.39,0.037
0.0,1.0,7.895,25.75,0.044
0.0,1.0,7.91,25.734,0.044
0.0,1.0,8.5,27.369,0.039
0.0,1.0,6.671,21.565,0.061
0.0,1.0,7.378,23.851,0.051
0.0,1.0,8.652,27.819,0.038
0.195,0.714,2.238,7.079,0.365
0.0,1.0,8.305,27.118,0.04
0.0,1.0,6.243,20.599,0.067
0.073,0.87,7.032,22.955,0.079
0.0,1.0,8.466,27.488,0.039
0.0,1.0,7.14,23.354,0.053
0.268,0.633,2.197,7.157,0.39
0.073,0.893,3.79,11.485,0.188
0.0,1.0,7.49,24.468,0.049
0.049,0.929,5.043,16.589,0.113
0.098,0.8,5.083,16.909,0.126
0.024,0.952,7.288,23.633,0.06
0.122,0.815,4.525,14.387,0.16
0.122,0.844,4.018,12.789,0.184
0.0,1.0,7.021,23.174,0.054
0.22,0.571,3.913,12.421,0.222
0.146,0.769,3.896,11.889,0.205
0.073,0.87,5.916,18.949,0.1
0.0,1.0,7.372,24.029,0.05
0.0,1.0,6.803,22.527,0.057
0.0,1.0,7.161,23.229,0.053
0.0,1.0,8.278,26.858,0.041
0.024,0.96,6.288,20.483,0.075
0.0,1.0,6.288,20.739,0.066
0.073,0.909,6.545,21.141,0.087
0.0,1.0,6.928,22.788,0.056
0.22,0.55,3.621,11.154,0.244
0.024,0.957,3.659,11.109,0.179
0.0,1.0,7.499,24.076,0.05
0.0,1.0,8.012,25.982,0.044
