Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.094,0.872,2.921,9.651,0.247
0.245,0.698,2.049,6.812,0.401
0.094,0.898,2.747,9.055,0.264
0.075,0.9,2.581,8.512,0.276
0.075,0.911,2.593,8.563,0.274
0.057,0.88,3.588,12.276,0.176
0.151,0.8,2.34,7.76,0.329
0.113,0.829,2.592,8.575,0.287
0.0,1.0,6.609,22.825,0.057
0.057,0.897,2.514,8.516,0.273
0.17,0.775,2.201,7.292,0.354
0.075,0.895,3.185,10.683,0.215
0.132,0.833,2.606,8.599,0.292
0.151,0.81,1.765,5.844,0.416
0.17,0.769,2.578,8.58,0.306
0.189,0.796,2.29,7.55,0.349
0.094,0.815,3.393,11.385,0.205
0.132,0.781,2.593,8.674,0.291
0.057,0.87,3.222,10.826,0.205
0.17,0.71,2.654,8.894,0.296
0.094,0.853,2.36,7.819,0.308
0.094,0.868,3.011,10.039,0.237
0.057,0.925,2.561,8.429,0.272
0.151,0.83,2.434,8.054,0.318
0.075,0.93,2.629,8.637,0.271
0.0,1.0,6.68,23.096,0.056
0.0,1.0,7.382,25.49,0.047
0.038,0.955,2.311,7.645,0.296
0.0,1.0,6.336,21.926,0.061
0.019,0.962,3.5,11.751,0.173
0.057,0.897,2.899,9.682,0.234
0.038,0.946,2.873,9.502,0.232
0.075,0.778,3.942,13.463,0.162
0.113,0.806,1.932,6.396,0.376
0.151,0.742,1.832,6.08,0.405
0.075,0.84,3.777,12.821,0.172
0.132,0.781,2.518,8.44,0.299
0.057,0.906,2.21,7.445,0.313
0.0,1.0,6.601,22.907,0.057
0.0,1.0,7.46,25.783,0.046
0.189,0.762,1.562,5.142,0.467
0.075,0.886,3.07,10.28,0.225
0.0,1.0,7.326,25.307,0.047
0.019,0.977,2.728,8.984,0.241
0.0,1.0,6.641,22.975,0.056
0.0,1.0,6.275,21.774,0.062
0.075,0.778,4.287,14.53,0.147
0.075,0.846,3.799,13.136,0.169
0.113,0.769,3.494,11.77,0.204
0.0,1.0,6.67,23.113,0.056
0.019,0.947,6.469,22.393,0.065
0.132,0.821,1.729,5.757,0.416
0.0,1.0,6.966,24.187,0.051
0.0,1.0,9.244,31.81,0.031
0.0,1.0,8.454,29.285,0.036
0.038,0.92,3.281,10.973,0.195
0.113,0.812,2.769,9.421,0.263
0.0,1.0,4.621,15.859,0.106
0.0,1.0,7.353,25.393,0.047
0.132,0.781,2.659,8.924,0.283
0.0,1.0,6.875,23.782,0.053
0.0,1.0,6.457,22.394,0.059
0.019,0.963,3.169,10.539,0.199
0.0,1.0,3.403,11.396,0.173
0.0,1.0,5.855,20.336,0.07
0.019,0.958,3.158,10.575,0.198
0.113,0.727,4.94,16.885,0.133
0.0,1.0,6.824,23.585,0.054
0.0,1.0,8.556,29.546,0.035
0.113,0.727,2.133,7.145,0.343
0.113,0.739,3.507,11.802,0.203
0.0,1.0,9.18,31.679,0.031
0.151,0.68,2.33,7.848,0.328
0.057,0.9,2.934,9.806,0.231
0.132,0.696,2.409,8.126,0.311
0.0,1.0,7.565,26.175,0.044
0.0,1.0,8.817,30.346,0.034
0.038,0.9,2.753,9.311,0.24
0.0,1.0,4.232,14.441,0.123
0.019,0.967,2.945,9.844,0.217
0.0,1.0,7.475,25.801,0.046
0.075,0.911,2.296,7.6,0.31
0.0,1.0,7.022,24.289,0.051
0.0,1.0,6.442,22.315,0.059
0.0,1.0,6.566,22.812,0.057
0.038,0.92,6.121,21.235,0.077
0.0,1.0,7.187,24.832,0.049
0.019,0.955,6.61,22.834,0.063
0.094,0.75,2.673,9.021,0.268
0.17,0.71,1.93,6.522,0.392
0.0,1.0,9.495,32.659,0.029
0.0,1.0,9.051,31.156,0.032
0.0,1.0,5.988,20.64,0.068
0.226,0.714,1.864,6.141,0.425
0.0,1.0,6.764,23.369,0.055
0.0,1.0,7.138,24.817,0.049
0.038,0.905,3.485,11.814,0.178
0.038,0.931,3.026,10.146,0.216
0.113,0.714,3.276,11.093,0.219
0.057,0.909,4.118,13.998,0.148
