Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,17.626,43.022,0.015
0.041,0.922,8.768,19.487,0.076
0.112,0.836,8.923,20.97,0.094
0.0,1.0,16.509,40.182,0.017
0.0,1.0,18.004,43.519,0.015
0.0,1.0,15.539,39.789,0.018
0.0,1.0,14.459,37.019,0.02
0.0,1.0,16.927,41.481,0.016
0.0,1.0,17.419,42.32,0.015
0.01,0.98,10.807,25.57,0.043
0.01,0.981,9.256,21.088,0.059
0.0,1.0,16.775,40.792,0.017
0.0,1.0,17.74,43.065,0.015
0.0,1.0,16.778,40.717,0.017
0.0,1.0,15.347,39.863,0.018
0.0,1.0,16.305,42.701,0.016
0.0,1.0,16.883,41.542,0.016
0.0,1.0,16.354,40.411,0.017
0.0,1.0,16.598,42.066,0.016
0.0,1.0,14.584,37.319,0.02
0.0,1.0,15.129,37.786,0.019
0.051,0.875,8.498,19.743,0.079
0.0,1.0,13.121,33.338,0.025
0.0,1.0,17.044,41.543,0.016
0.01,0.98,9.909,23.179,0.05
0.0,1.0,16.217,40.566,0.017
0.0,1.0,15.703,38.452,0.019
0.0,1.0,17.39,43.23,0.015
0.0,1.0,17.476,43.087,0.015
0.0,1.0,14.324,35.259,0.022
0.092,0.83,10.0,23.924,0.075
0.0,1.0,16.069,42.179,0.016
0.0,1.0,15.939,40.487,0.017
0.0,1.0,13.366,33.491,0.024
0.0,1.0,16.183,39.64,0.017
0.01,0.979,9.673,23.012,0.051
0.0,1.0,18.152,44.767,0.014
0.0,1.0,16.023,39.427,0.018
0.0,1.0,18.225,44.012,0.014
0.031,0.947,7.344,16.393,0.094
0.0,1.0,12.91,31.791,0.027
0.0,1.0,14.659,36.871,0.02
0.0,1.0,16.343,42.333,0.016
0.0,1.0,16.407,40.283,0.017
0.102,0.796,7.484,17.328,0.112
0.0,1.0,17.719,42.858,0.015
0.0,1.0,17.212,42.452,0.015
0.01,0.977,11.028,26.262,0.041
0.0,1.0,16.079,40.758,0.017
0.0,1.0,17.978,43.572,0.015
0.01,0.975,10.415,24.289,0.047
0.061,0.846,10.045,23.694,0.066
0.01,0.977,8.436,19.348,0.068
0.0,1.0,19.649,47.824,0.012
0.0,1.0,16.725,42.329,0.016
0.0,1.0,16.079,39.533,0.018
0.0,1.0,10.502,24.718,0.042
0.0,1.0,16.086,41.103,0.017
0.0,1.0,18.21,44.834,0.014
0.0,1.0,18.846,45.947,0.013
0.0,1.0,16.907,41.781,0.016
0.0,1.0,12.168,30.723,0.029
0.0,1.0,16.547,40.523,0.017
0.0,1.0,15.814,41.386,0.016
0.0,1.0,17.921,43.662,0.014
0.0,1.0,15.256,39.671,0.018
0.0,1.0,14.232,35.144,0.022
0.0,1.0,16.58,41.027,0.016
0.041,0.939,16.15,39.533,0.031
0.0,1.0,14.019,34.692,0.023
0.0,1.0,14.656,37.354,0.02
0.0,1.0,15.857,40.609,0.017
0.0,1.0,17.37,42.119,0.016
0.0,1.0,15.488,39.991,0.018
0.0,1.0,13.431,33.779,0.024
0.0,1.0,16.392,41.669,0.016
0.041,0.902,8.641,19.864,0.075
0.0,1.0,18.214,44.671,0.014
0.01,0.981,13.323,33.396,0.028
0.0,1.0,16.912,42.328,0.016
0.0,1.0,17.527,43.16,0.015
0.122,0.793,10.195,24.552,0.084
0.0,1.0,11.547,28.355,0.033
0.0,1.0,15.67,39.958,0.017
0.0,1.0,16.074,42.111,0.016
0.071,0.841,9.861,24.358,0.068
0.0,1.0,18.762,45.533,0.013
0.0,1.0,16.435,41.784,0.016
0.0,1.0,15.984,39.13,0.018
0.0,1.0,16.788,40.992,0.016
0.0,1.0,15.8,40.943,0.017
0.0,1.0,16.27,40.278,0.017
0.0,1.0,18.998,46.55,0.013
0.0,1.0,19.141,46.351,0.013
0.0,1.0,16.906,40.959,0.016
0.02,0.959,10.16,24.949,0.049
0.0,1.0,15.779,39.161,0.018
0.0,1.0,15.154,38.844,0.018
0.0,1.0,15.182,39.45,0.018
0.0,1.0,14.45,35.437,0.022
