Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.338,0.519,4.805,12.072,0.253
0.041,0.909,10.514,25.805,0.053
0.095,0.825,8.143,20.116,0.093
0.054,0.857,9.806,23.74,0.064
0.122,0.78,6.11,15.426,0.137
0.068,0.884,8.529,21.46,0.078
0.095,0.794,9.232,22.688,0.081
0.122,0.75,8.578,21.264,0.096
0.108,0.789,9.313,22.786,0.085
0.014,0.963,7.663,20.776,0.065
0.081,0.818,10.38,25.67,0.067
0.027,0.933,6.924,17.067,0.09
0.095,0.811,6.083,15.045,0.131
0.095,0.781,7.141,17.698,0.108
0.027,0.931,10.044,25.12,0.051
0.027,0.939,9.702,23.876,0.054
0.027,0.929,11.399,28.378,0.042
0.068,0.853,7.567,18.947,0.091
0.0,1.0,8.123,21.109,0.057
0.041,0.921,6.065,15.331,0.111
0.027,0.939,8.969,22.92,0.058
0.068,0.833,9.335,22.828,0.072
0.243,0.438,4.424,11.04,0.24
0.068,0.808,9.589,23.565,0.069
0.0,1.0,9.31,24.637,0.044
0.122,0.64,6.177,15.479,0.136
0.0,1.0,10.223,25.625,0.04
0.068,0.808,9.419,22.966,0.071
0.0,1.0,9.545,24.749,0.043
0.027,0.947,9.721,23.648,0.055
0.068,0.848,9.806,24.065,0.067
0.027,0.909,9.399,22.898,0.058
0.014,0.967,8.76,22.223,0.057
0.014,0.962,6.505,16.345,0.092
0.0,1.0,10.461,27.337,0.036
0.0,1.0,7.45,19.833,0.065
0.014,0.96,12.013,30.331,0.034
0.081,0.818,7.55,20.16,0.09
0.014,0.969,11.686,31.291,0.033
0.041,0.833,8.727,21.427,0.068
0.0,1.0,9.317,23.831,0.046
0.0,1.0,9.018,23.502,0.048
0.041,0.875,7.816,19.464,0.079
0.0,1.0,8.433,22.376,0.052
0.081,0.76,9.25,22.959,0.076
0.081,0.8,8.709,21.373,0.082
0.014,0.963,10.368,25.677,0.044
0.014,0.966,11.253,28.532,0.037
0.041,0.919,8.49,22.047,0.067
0.095,0.682,11.359,28.178,0.065
0.014,0.975,9.85,24.941,0.047
0.054,0.862,7.883,19.552,0.083
0.014,0.97,8.596,22.535,0.056
0.108,0.75,4.748,12.323,0.174
0.041,0.87,9.896,23.967,0.058
0.108,0.692,5.601,13.937,0.149
0.054,0.852,10.042,24.562,0.061
0.014,0.96,11.484,28.89,0.037
0.149,0.577,4.795,12.191,0.188
0.0,1.0,10.737,28.025,0.034
0.014,0.96,12.355,31.048,0.033
0.027,0.931,9.312,25.218,0.051
0.054,0.833,7.908,19.593,0.082
0.176,0.536,5.391,13.727,0.175
0.014,0.974,10.522,26.285,0.043
0.0,1.0,12.768,33.056,0.025
0.0,1.0,10.574,27.26,0.036
0.041,0.889,5.338,13.351,0.134
0.054,0.852,8.304,21.24,0.075
0.081,0.76,6.949,17.246,0.107
0.0,1.0,8.821,22.873,0.05
0.0,1.0,10.202,25.775,0.04
0.014,0.96,10.119,24.916,0.046
0.027,0.929,7.641,19.229,0.076
0.041,0.906,9.093,23.256,0.062
0.027,0.938,5.815,14.665,0.114
0.0,1.0,8.637,22.199,0.052
0.081,0.786,8.514,20.889,0.084
0.081,0.838,10.59,26.262,0.065
0.0,1.0,9.248,24.198,0.045
0.0,1.0,9.651,25.048,0.042
0.149,0.56,7.665,19.805,0.114
0.095,0.759,9.905,24.699,0.074
0.108,0.704,5.226,12.867,0.163
0.054,0.789,11.43,28.672,0.051
0.0,1.0,10.643,27.428,0.036
0.0,1.0,7.663,19.859,0.064
0.041,0.893,7.76,20.445,0.075
0.041,0.912,9.514,23.813,0.059
0.0,1.0,9.321,23.969,0.046
0.0,1.0,8.17,21.696,0.055
0.068,0.737,8.799,21.905,0.076
0.054,0.902,8.644,22.961,0.068
0.014,0.947,9.013,23.257,0.053
0.0,1.0,9.305,24.147,0.045
0.0,1.0,7.56,20.64,0.061
0.014,0.962,8.685,22.139,0.057
0.027,0.947,8.991,22.538,0.06
0.0,1.0,11.326,28.9,0.032
0.135,0.655,6.429,16.076,0.135
