Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,10.217,30.479,0.031
0.0,1.0,19.847,61.127,0.008
0.0,1.0,12.417,37.747,0.021
0.0,1.0,22.755,69.908,0.006
0.053,0.886,6.157,17.967,0.097
0.053,0.862,6.702,19.039,0.089
0.0,1.0,13.647,41.219,0.018
0.013,0.963,5.506,16.27,0.099
0.0,1.0,12.079,36.639,0.022
0.0,1.0,10.747,32.114,0.028
0.0,1.0,6.051,17.96,0.08
0.0,1.0,20.134,61.819,0.008
0.0,1.0,10.717,32.374,0.028
0.0,1.0,20.925,64.142,0.007
0.105,0.704,5.248,15.196,0.14
0.0,1.0,22.962,70.557,0.006
0.0,1.0,13.37,40.668,0.018
0.0,1.0,19.944,60.992,0.008
0.0,1.0,11.334,34.492,0.025
0.053,0.889,6.94,19.974,0.084
0.0,1.0,12.277,36.919,0.022
0.0,1.0,14.494,43.815,0.016
0.0,1.0,11.919,36.398,0.022
0.0,1.0,17.766,54.269,0.01
0.0,1.0,22.834,70.105,0.006
0.0,1.0,19.848,61.076,0.008
0.0,1.0,7.842,23.532,0.05
0.0,1.0,12.335,37.445,0.021
0.0,1.0,10.519,31.931,0.029
0.0,1.0,9.583,28.458,0.035
0.0,1.0,11.694,35.237,0.024
0.0,1.0,22.593,69.231,0.006
0.066,0.737,6.479,19.101,0.094
0.0,1.0,21.6,66.375,0.007
0.0,1.0,13.313,40.79,0.018
0.0,1.0,19.599,59.856,0.009
0.0,1.0,11.327,34.361,0.025
0.0,1.0,23.604,72.847,0.006
0.0,1.0,13.851,41.829,0.017
0.0,1.0,22.099,67.614,0.007
0.184,0.44,4.642,13.359,0.189
0.0,1.0,20.386,62.724,0.008
0.105,0.778,6.324,18.017,0.114
0.0,1.0,7.462,22.771,0.054
0.0,1.0,22.829,70.025,0.006
0.0,1.0,11.757,35.783,0.023
0.0,1.0,10.516,31.907,0.029
0.026,0.917,6.728,19.228,0.079
0.0,1.0,21.451,65.758,0.007
0.0,1.0,20.825,64.11,0.007
0.0,1.0,22.208,68.176,0.007
0.0,1.0,8.451,24.951,0.045
0.0,1.0,12.603,38.588,0.02
0.066,0.828,6.108,17.662,0.104
0.0,1.0,12.855,38.902,0.02
0.092,0.788,4.789,13.866,0.152
0.0,1.0,22.821,69.766,0.006
0.0,1.0,20.047,61.39,0.008
0.0,1.0,25.941,80.065,0.005
0.026,0.913,5.104,15.091,0.116
0.039,0.9,8.417,24.862,0.058
0.0,1.0,20.16,62.079,0.008
0.079,0.806,6.415,18.062,0.104
0.039,0.906,5.009,14.945,0.122
0.0,1.0,25.56,78.496,0.005
0.0,1.0,6.873,20.515,0.064
0.0,1.0,19.642,60.381,0.008
0.0,1.0,23.015,70.515,0.006
0.0,1.0,21.605,66.198,0.007
0.0,1.0,10.414,31.091,0.03
0.0,1.0,17.018,51.906,0.011
0.0,1.0,11.741,35.496,0.023
0.0,1.0,22.318,68.506,0.007
0.053,0.846,6.026,17.35,0.102
0.0,1.0,14.214,42.969,0.016
0.039,0.889,6.828,19.624,0.081
0.0,1.0,8.779,26.219,0.041
0.0,1.0,8.648,25.474,0.043
0.026,0.931,5.932,16.715,0.097
0.079,0.769,6.37,18.21,0.103
0.053,0.733,4.302,12.685,0.157
0.0,1.0,12.101,36.807,0.022
0.013,0.95,6.84,19.991,0.071
0.0,1.0,10.789,32.371,0.028
0.0,1.0,21.839,67.129,0.007
0.0,1.0,23.549,71.947,0.006
0.0,1.0,19.994,61.525,0.008
0.0,1.0,23.646,72.727,0.006
0.0,1.0,21.424,65.504,0.007
0.0,1.0,20.872,64.221,0.007
0.0,1.0,12.505,37.703,0.021
0.0,1.0,11.152,33.393,0.026
0.0,1.0,12.621,38.471,0.02
0.0,1.0,11.447,34.192,0.025
0.092,0.794,5.126,15.001,0.138
0.0,1.0,9.992,29.931,0.032
0.0,1.0,12.606,37.861,0.021
0.197,0.318,3.798,10.955,0.236
0.0,1.0,15.57,47.468,0.013
0.0,1.0,22.55,69.282,0.006
