Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,16.8,48.821,0.012
0.0,1.0,11.516,33.474,0.026
0.0,1.0,11.764,33.76,0.025
0.0,1.0,19.35,55.464,0.01
0.0,1.0,10.311,30.022,0.032
0.0,1.0,15.035,43.899,0.015
0.0,1.0,16.735,48.03,0.013
0.0,1.0,17.536,50.387,0.012
0.0,1.0,15.319,43.978,0.015
0.0,1.0,13.578,39.186,0.019
0.0,1.0,16.923,49.149,0.012
0.0,1.0,17.13,50.934,0.012
0.0,1.0,9.453,27.209,0.038
0.0,1.0,18.912,54.262,0.01
0.0,1.0,16.689,48.543,0.013
0.0,1.0,16.908,49.23,0.012
0.0,1.0,16.46,47.431,0.013
0.0,1.0,16.828,48.74,0.012
0.0,1.0,17.951,52.279,0.011
0.0,1.0,16.995,49.238,0.012
0.0,1.0,17.751,51.295,0.011
0.0,1.0,17.915,51.583,0.011
0.0,1.0,19.016,55.196,0.01
0.0,1.0,12.735,36.807,0.021
0.0,1.0,16.089,46.857,0.013
0.0,1.0,10.946,33.003,0.027
0.0,1.0,11.282,32.819,0.027
0.0,1.0,16.534,48.014,0.013
0.0,1.0,15.276,44.512,0.015
0.0,1.0,18.447,53.586,0.01
0.0,1.0,17.25,50.052,0.012
0.0,1.0,15.978,47.799,0.013
0.0,1.0,13.56,39.527,0.019
0.0,1.0,11.756,33.677,0.025
0.0,1.0,23.378,70.087,0.006
0.0,1.0,12.517,35.958,0.022
0.0,1.0,17.141,49.494,0.012
0.0,1.0,11.219,32.238,0.028
0.0,1.0,17.009,49.256,0.012
0.0,1.0,17.744,51.592,0.011
0.0,1.0,10.617,31.717,0.029
0.0,1.0,15.806,46.904,0.014
0.0,1.0,10.628,30.566,0.03
0.0,1.0,11.338,32.476,0.027
0.0,1.0,10.949,32.021,0.028
0.0,1.0,12.807,37.317,0.021
0.02,0.968,5.218,15.666,0.108
0.0,1.0,19.417,56.232,0.009
0.0,1.0,16.549,48.385,0.013
0.0,1.0,11.779,34.162,0.025
0.0,1.0,15.933,45.88,0.014
0.0,1.0,16.571,48.412,0.013
0.0,1.0,14.076,40.484,0.018
0.0,1.0,18.155,52.711,0.011
0.0,1.0,13.153,38.329,0.02
0.0,1.0,10.526,30.462,0.031
0.0,1.0,12.92,38.754,0.02
0.0,1.0,16.866,48.579,0.013
0.0,1.0,16.965,49.404,0.012
0.0,1.0,14.286,40.775,0.018
0.0,1.0,17.408,50.502,0.012
0.0,1.0,14.447,43.6,0.016
0.0,1.0,14.367,41.625,0.017
0.0,1.0,15.305,44.672,0.015
0.0,1.0,16.416,47.362,0.013
0.0,1.0,19.759,56.499,0.009
0.0,1.0,11.716,33.501,0.026
0.0,1.0,10.62,30.648,0.03
0.0,1.0,15.17,44.161,0.015
0.0,1.0,15.145,45.131,0.015
0.0,1.0,16.284,47.202,0.013
0.0,1.0,17.029,50.649,0.012
0.0,1.0,24.708,73.603,0.006
0.0,1.0,18.774,54.134,0.01
0.0,1.0,17.745,53.076,0.011
0.0,1.0,11.432,33.401,0.026
0.0,1.0,9.414,27.864,0.037
0.0,1.0,17.82,53.361,0.011
0.0,1.0,10.464,30.319,0.031
0.0,1.0,14.203,42.336,0.017
0.0,1.0,14.135,41.723,0.017
0.0,1.0,10.48,30.294,0.031
0.0,1.0,14.519,41.804,0.017
0.0,1.0,18.109,52.197,0.011
0.0,1.0,14.574,41.755,0.017
0.0,1.0,23.911,71.21,0.006
0.0,1.0,16.31,47.597,0.013
0.0,1.0,11.292,33.108,0.026
0.0,1.0,19.147,55.243,0.01
0.0,1.0,14.414,41.537,0.017
0.0,1.0,12.983,37.426,0.021
0.0,1.0,19.528,55.964,0.009
0.04,0.931,5.096,13.738,0.132
0.0,1.0,15.552,46.539,0.014
0.0,1.0,11.957,34.351,0.024
0.0,1.0,12.639,36.324,0.022
0.0,1.0,16.179,48.348,0.013
0.0,1.0,23.103,69.368,0.006
0.0,1.0,8.307,24.935,0.045
0.0,1.0,10.318,29.912,0.032
