Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,7.619,22.022,0.056
0.0,1.0,28.625,83.81,0.004
0.0,1.0,7.77,22.741,0.053
0.0,1.0,29.216,85.482,0.004
0.0,1.0,14.983,43.68,0.015
0.111,0.879,4.163,11.413,0.194
0.0,1.0,28.514,83.465,0.004
0.0,1.0,8.16,23.703,0.049
0.0,1.0,23.143,67.614,0.007
0.0,1.0,28.733,84.027,0.004
0.0,1.0,29.316,85.776,0.004
0.0,1.0,25.602,75.225,0.005
0.0,1.0,22.133,65.414,0.007
0.0,1.0,8.162,23.638,0.049
0.0,1.0,28.836,84.398,0.004
0.0,1.0,7.075,20.621,0.063
0.0,1.0,26.873,78.655,0.005
0.0,1.0,17.506,51.327,0.011
0.0,1.0,10.291,30.179,0.031
0.0,1.0,23.331,68.487,0.006
0.0,1.0,28.647,83.873,0.004
0.0,1.0,6.162,18.152,0.079
0.0,1.0,20.874,61.575,0.008
0.0,1.0,28.529,83.619,0.004
0.0,1.0,31.402,92.325,0.004
0.0,1.0,29.032,84.938,0.004
0.0,1.0,6.138,18.139,0.079
0.0,1.0,28.682,83.867,0.004
0.0,1.0,8.134,23.498,0.05
0.0,1.0,6.196,18.272,0.078
0.0,1.0,9.297,26.867,0.039
0.0,1.0,28.045,82.158,0.004
0.0,1.0,33.234,97.791,0.003
0.0,1.0,23.074,67.602,0.007
0.0,1.0,6.65,19.238,0.071
0.0,1.0,9.129,26.962,0.039
0.0,1.0,28.596,83.629,0.004
0.0,1.0,30.382,88.839,0.004
0.0,1.0,10.325,30.314,0.031
0.0,1.0,13.338,39.13,0.019
0.0,1.0,16.462,48.349,0.013
0.0,1.0,33.328,98.122,0.003
0.0,1.0,15.157,44.681,0.015
0.0,1.0,7.948,23.302,0.051
0.0,1.0,29.282,85.698,0.004
0.0,1.0,9.325,26.961,0.039
0.0,1.0,27.274,79.772,0.005
0.0,1.0,20.007,59.238,0.009
0.0,1.0,6.555,18.898,0.073
0.0,1.0,8.087,23.659,0.049
0.0,1.0,5.76,16.793,0.089
0.0,1.0,8.335,24.318,0.047
0.0,1.0,19.139,56.662,0.009
0.0,1.0,6.022,17.502,0.083
0.0,1.0,37.408,109.452,0.003
0.0,1.0,28.934,84.752,0.004
0.028,0.971,7.212,21.159,0.069
0.0,1.0,13.564,39.579,0.019
0.111,0.895,6.918,20.187,0.102
0.0,1.0,10.815,31.843,0.028
0.0,1.0,12.594,36.944,0.021
0.0,1.0,13.145,38.512,0.02
0.0,1.0,8.643,25.023,0.044
0.0,1.0,13.619,40.118,0.018
0.0,1.0,15.055,44.299,0.015
0.0,1.0,24.851,73.37,0.006
0.0,1.0,31.264,91.507,0.004
0.0,1.0,9.15,26.457,0.04
0.0,1.0,9.089,26.357,0.04
0.028,0.963,6.7,19.348,0.079
0.0,1.0,15.838,46.766,0.014
0.0,1.0,26.611,78.283,0.005
0.0,1.0,28.025,82.483,0.004
0.0,1.0,28.931,84.624,0.004
0.0,1.0,29.309,85.876,0.004
0.0,1.0,13.23,38.903,0.019
0.0,1.0,28.376,83.029,0.004
0.0,1.0,21.05,61.965,0.008
0.0,1.0,8.72,25.483,0.043
0.0,1.0,8.514,24.529,0.046
0.0,1.0,6.353,18.758,0.074
0.0,1.0,10.531,30.642,0.03
0.0,1.0,10.416,30.446,0.031
0.0,1.0,9.381,27.189,0.038
0.0,1.0,32.558,95.719,0.003
0.0,1.0,7.221,20.951,0.061
0.0,1.0,6.621,19.642,0.069
0.083,0.885,4.572,12.667,0.164
0.0,1.0,29.348,85.903,0.004
0.0,1.0,15.13,44.658,0.015
0.0,1.0,28.031,82.004,0.004
0.0,1.0,7.948,23.178,0.051
0.0,1.0,28.684,83.918,0.004
0.0,1.0,4.222,11.742,0.152
0.0,1.0,10.398,30.555,0.031
0.0,1.0,10.497,30.902,0.03
0.0,1.0,31.529,92.849,0.004
0.0,1.0,10.392,30.623,0.031
0.0,1.0,18.826,55.784,0.01
0.0,1.0,7.733,22.48,0.054
