Fnat,Fnonnat,iRMS,LRMS,DockQ_score
0.0,1.0,7.119,28.534,0.041
0.0,1.0,6.14,23.902,0.056
0.0,1.0,7.736,30.861,0.036
0.0,1.0,6.266,24.622,0.054
0.0,1.0,8.921,34.905,0.028
0.0,1.0,5.972,23.866,0.057
0.0,1.0,4.747,18.478,0.088
0.0,1.0,6.895,27.422,0.044
0.0,1.0,9.438,36.901,0.025
0.0,1.0,5.029,19.404,0.081
0.0,1.0,3.315,12.729,0.159
0.0,1.0,7.351,29.318,0.039
0.0,1.0,4.24,16.509,0.107
0.0,1.0,7.935,31.628,0.034
0.013,0.962,3.914,16.045,0.12
0.0,1.0,9.631,37.741,0.024
0.0,1.0,7.007,27.983,0.043
0.026,0.952,5.75,22.095,0.073
0.0,1.0,6.948,27.749,0.043
0.0,1.0,6.647,26.548,0.047
0.0,1.0,5.699,22.791,0.062
0.0,1.0,7.886,31.368,0.034
0.013,0.96,2.999,11.154,0.194
0.0,1.0,7.45,29.621,0.038
0.053,0.905,1.927,7.244,0.336
0.026,0.913,3.66,14.943,0.138
0.092,0.781,4.018,15.288,0.15
0.0,1.0,5.129,19.94,0.078
0.0,1.0,6.589,26.44,0.048
0.013,0.963,5.725,23.082,0.066
0.0,1.0,5.007,20.194,0.078
0.053,0.909,2.223,8.386,0.291
0.0,1.0,7.617,30.669,0.036
0.0,1.0,8.394,33.847,0.03
0.0,1.0,11.018,43.615,0.018
0.0,1.0,7.87,31.715,0.034
0.0,1.0,7.983,32.199,0.033
0.013,0.96,4.994,20.102,0.083
0.092,0.667,2.503,9.904,0.26
0.0,1.0,7.746,30.955,0.035
0.0,1.0,10.424,40.68,0.021
0.0,1.0,5.963,23.08,0.06
0.0,1.0,6.117,24.712,0.054
0.0,1.0,6.614,26.518,0.047
0.0,1.0,3.411,13.783,0.146
0.0,1.0,3.549,14.176,0.139
0.0,1.0,5.129,20.003,0.077
0.0,1.0,5.574,21.946,0.066
0.0,1.0,10.923,42.592,0.019
0.0,1.0,6.719,27.346,0.045
0.0,1.0,7.48,30.001,0.038
0.0,1.0,7.497,30.067,0.038
0.0,1.0,8.118,32.219,0.033
0.0,1.0,12.549,48.766,0.015
0.0,1.0,9.18,36.136,0.026
0.0,1.0,4.697,18.193,0.091
0.0,1.0,7.47,29.216,0.039
0.066,0.815,2.898,11.534,0.21
0.0,1.0,5.713,22.754,0.062
0.079,0.842,4.533,17.394,0.123
0.026,0.957,3.145,12.022,0.182
0.0,1.0,12.44,48.202,0.015
0.0,1.0,9.059,36.242,0.026
0.0,1.0,6.941,28.082,0.043
0.053,0.875,4.014,16.002,0.132
0.013,0.963,3.934,15.549,0.123
0.0,1.0,9.488,38.104,0.024
0.0,1.0,4.356,17.807,0.097
0.053,0.886,4.482,17.083,0.117
0.0,1.0,7.305,29.471,0.039
0.0,1.0,10.226,39.862,0.022
0.0,1.0,7.162,28.932,0.04
0.0,1.0,7.813,30.946,0.035
0.039,0.917,4.454,17.624,0.11
0.0,1.0,7.334,29.5,0.039
0.0,1.0,8.072,31.899,0.033
0.0,1.0,8.771,34.601,0.028
0.026,0.882,3.316,13.367,0.161
0.0,1.0,6.904,27.639,0.044
0.0,1.0,9.9,39.563,0.022
0.0,1.0,7.479,29.862,0.038
0.0,1.0,7.854,31.561,0.034
0.0,1.0,6.624,26.815,0.047
0.0,1.0,9.112,35.837,0.027
0.039,0.9,5.5,21.357,0.082
0.0,1.0,7.881,30.741,0.035
0.0,1.0,6.802,27.111,0.045
0.0,1.0,13.257,51.061,0.013
0.0,1.0,5.244,21.292,0.071
0.0,1.0,6.361,26.062,0.05
0.0,1.0,6.284,25.174,0.052
0.0,1.0,7.737,30.198,0.037
0.039,0.935,3.795,14.433,0.144
0.079,0.818,4.524,17.328,0.124
0.039,0.929,2.901,11.012,0.208
0.0,1.0,8.007,31.306,0.034
0.0,1.0,10.309,41.007,0.021
0.0,1.0,4.555,18.533,0.091
0.0,1.0,7.151,28.121,0.042
0.0,1.0,12.391,48.76,0.015
